Correct Response,Rotation (deg),Reaction Time (ms),Target
1,15.0,766.5675139869563,1
1,-15.0,673.5188100137748,1
1,-30.0,528.5879809816834,0
1,0.0,463.84157400461845,0
1,22.5,563.20037599653,1
1,45.0,769.0725220018066,0
1,-7.5,617.6547929935623,0
1,-52.5,797.657112008892,0
1,-45.0,631.9980289845262,0
1,-7.5,544.9813459999859,1
1,-15.0,514.6424459817354,1
1,22.5,630.1202299946453,1
1,-37.5,599.6906759974081,0
1,7.5,551.4581439783797,0
1,0.0,563.147820008453,0
1,30.0,636.043045000406,1
1,52.5,586.811392015079,1
1,-60.0,728.5527590138372,0
1,60.0,1273.926786991069,0
1,37.5,649.7428420116194,1
1,-15.0,767.7996559941676,1
1,22.5,542.4031259899493,1
1,60.0,695.0344400247559,0
1,-45.0,991.0452280018944,0
1,-7.5,537.8723109897692,0
1,0.0,619.9304740002844,1
1,0.0,559.64031998883,0
1,60.0,702.5110659888014,1
0,-60.0,747.128591989167,1
1,45.0,617.6826279843226,0
1,7.5,500.91984597384,0
1,22.5,546.6568929841742,0
1,15.0,677.502305014059,0
1,-22.5,627.2012699919287,0
1,45.0,646.6464519908186,0
1,-37.5,619.8668169963639,1
1,-52.5,534.0493959956802,0
1,15.0,546.956809994299,1
1,52.5,601.6326439857949,1
1,52.5,617.1835780260153,1
1,-45.0,584.5936340047047,0
1,-15.0,624.869546998525,1
1,-7.5,598.4204449923709,1
1,-60.0,735.6246809940785,1
1,-22.5,528.2755749940407,1
1,-37.5,587.1506709954701,0
1,22.5,629.6195610193536,0
1,-22.5,541.6755189944524,1
1,37.5,571.434481011238,0
1,60.0,671.5372919861693,0
1,45.0,730.1724009739701,1
1,52.5,640.2718830213416,0
0,60.0,1007.216794998385,1
1,-37.5,580.3508359822445,0
1,30.0,570.1268069969956,0
1,-30.0,687.9646400047932,0
0,-45.0,806.6495259990916,1
1,22.5,904.824748984538,1
1,60.0,990.6472969742026,1
1,0.0,547.4438749952242,0
1,45.0,699.7146439971402,1
1,-30.0,1027.1197550173383,0
1,0.0,740.9282079897821,0
1,-7.5,597.473165980773,1
0,-52.5,872.213369992096,0
1,-60.0,706.1184929916635,0
1,37.5,801.5019399754237,1
1,37.5,728.0274119984824,0
1,0.0,666.5174660156481,1
1,-22.5,753.2208019983955,1
1,-45.0,651.2533720233478,0
1,60.0,600.4663549829274,0
1,52.5,544.2347400239669,0
1,7.5,565.3343660233077,0
1,45.0,716.5718770120293,0
1,0.0,516.9281960115768,1
1,-30.0,760.1371140044648,0
1,30.0,670.268332993146,1
1,15.0,502.9860689828638,0
1,-15.0,594.4245700084139,1
1,-22.5,571.4979720069095,0
1,52.5,589.9159800028428,0
1,30.0,596.5034189866856,0
1,-30.0,548.8813199917786,0
1,-30.0,1095.501231990056,1
1,-7.5,558.8092599937227,0
1,-15.0,902.7671530202497,0
1,22.5,539.5321190007962,0
1,30.0,779.3656639987603,1
1,7.5,676.8294049834367,1
1,-45.0,818.4605569986161,1
1,-60.0,1179.9005560169462,1
1,-52.5,603.5661469795741,0
1,-45.0,744.3670929933432,0
1,-60.0,640.2744580118451,0
1,37.5,562.4619089940097,0
1,7.5,657.8274450148456,1
1,15.0,517.1169379900675,0
1,-30.0,688.1405560125131,1
1,30.0,494.3777959852014,0
1,15.0,566.0996359947603,0
1,-22.5,592.9673190112226,1
1,-37.5,666.6540470032487,0
1,-7.5,554.9940420023631,0
1,45.0,756.4080499869306,0
1,7.5,592.6488390250597,1
1,52.5,601.4566149970051,0
1,7.5,581.7173249961343,1
1,-52.5,707.985209999606,0
1,15.0,640.4390780080575,1
1,45.0,858.3264189946931,1
1,37.5,563.9136800018605,1
1,30.0,628.7679010129068,1
1,-45.0,645.3752949892078,1
1,-30.0,652.0023700140882,1
1,-52.5,592.8439199924469,0
1,-30.0,615.5072469846345,0
1,15.0,676.4806040155236,1
1,15.0,505.05195101141,1
1,52.5,579.5101770199835,1
0,60.0,683.1238050071988,1
1,-60.0,558.8315869972575,0
1,-15.0,604.9839490151498,1
1,37.5,642.5949950062204,1
1,45.0,600.0345099892002,1
1,-15.0,620.2020829950925,1
1,0.0,545.478229993023,0
1,-45.0,602.1505399839953,1
1,-37.5,560.9913269872777,0
1,-52.5,644.5467839948833,0
1,-7.5,861.1359740025364,1
1,-52.5,870.5486129911151,1
1,7.5,544.6144369780086,0
1,30.0,568.0462600139435,0
1,52.5,615.2943029883318,1
1,22.5,569.3678190000355,1
1,37.5,545.9738570207264,0
1,-22.5,604.3875780014787,1
1,22.5,496.14188601844944,0
1,-37.5,510.79808597569354,0
1,60.0,737.1883410087321,1
1,-15.0,593.4291720041074,1
1,30.0,625.207325007068,1
1,-7.5,624.681290006265,1
1,37.5,523.3623099920806,0
1,-37.5,583.7251920020208,1
1,-52.5,726.6140879946761,0
1,-60.0,596.5582509816159,0
1,-22.5,698.9547999983188,1
1,-37.5,751.2615080049727,1
1,7.5,650.5289119959343,1
1,-22.5,592.5100859894883,1
1,-60.0,661.0562709975056,1
1,-60.0,708.8334900035989,0
1,60.0,788.3679500082508,0
1,-45.0,694.3920050107408,0
1,-52.5,693.8538859831169,1
1,60.0,663.0321410193574,0
