Correct Response,Rotation (deg),Reaction Time (ms),Target
1,0.0,470.93436300201574,0
1,45.0,644.4125599991821,0
1,0.0,548.3534270024393,0
1,0.0,572.6910299999872,1
1,-45.0,902.3076049998053,1
1,-30.0,612.6487250003265,0
1,45.0,503.1673830017098,0
1,-30.0,710.3722950014344,1
1,-15.0,456.5683520013408,0
1,15.0,662.5461830008135,1
1,15.0,563.3572279984946,0
1,0.0,520.4935030014894,1
1,-45.0,854.009729999234,1
1,45.0,670.5568200013658,1
1,0.0,582.7324769998086,1
1,-45.0,664.7163099987665,0
1,15.0,623.6276500021631,1
1,45.0,612.184827998135,0
1,30.0,651.018872998975,1
1,30.0,564.3376930020167,0
1,-30.0,541.5880199980165,0
1,-30.0,523.3905679997406,0
1,0.0,531.3847449979221,1
1,15.0,526.696502998675,0
1,-15.0,654.9575520002691,1
1,-45.0,470.1183849974768,0
1,-45.0,498.97367499943357,0
1,0.0,568.3060549999936,0
1,-15.0,627.7518320021045,0
1,-15.0,482.8968129986606,0
1,-30.0,422.48488000041107,0
1,0.0,544.6895519999089,1
1,0.0,397.17800700236694,0
1,30.0,527.606925003056,0
1,-15.0,496.76844799978426,1
0,-30.0,522.816149998107,1
1,45.0,716.212675000861,1
1,30.0,575.3145369999402,1
1,30.0,480.0919899971632,0
1,-45.0,660.4952750021766,0
1,15.0,547.34586700215,0
1,15.0,529.8434320029628,0
1,0.0,596.7176929989364,1
1,45.0,585.3124300010677,1
0,45.0,565.9861530002672,0
1,15.0,655.1889699985622,1
1,15.0,675.4543450006167,1
1,-45.0,541.3854350008478,0
1,15.0,532.4869649994071,0
1,45.0,741.189176998887,1
1,15.0,655.4844299971592,0
1,-15.0,547.1998369976063,0
0,-45.0,1663.628410002275,1
1,30.0,828.3176849981828,1
1,0.0,572.7487570002268,1
1,30.0,581.4422500006913,0
1,45.0,660.1189909997629,0
1,15.0,610.0775320010143,1
1,45.0,698.2677240011981,1
1,-30.0,641.5165430007619,1
1,30.0,650.9124820004217,1
1,45.0,543.6608990021341,0
1,15.0,629.8877520021051,1
1,0.0,607.7847630003816,1
0,-45.0,649.7438590013189,0
1,15.0,590.086516996962,1
1,0.0,654.4360690022586,0
1,-30.0,802.3621089996595,0
1,-15.0,568.4575129998848,0
1,-15.0,567.5288580023334,0
1,0.0,655.9287960008078,0
1,-45.0,652.533967000636,0
1,-15.0,604.3998669993016,0
1,-45.0,865.0315099985164,0
1,30.0,650.7132980004826,0
1,-15.0,756.6207249983563,1
1,15.0,613.6739510002371,0
1,0.0,515.3356729970255,0
1,-15.0,516.0325500000909,0
1,-45.0,720.5481740020332,1
1,0.0,489.870832003362,0
1,45.0,925.375377999444,1
1,-30.0,568.3424429989827,0
1,-30.0,560.0444929987134,0
1,-30.0,706.6044669991243,1
1,-45.0,704.1960860005929,1
1,-15.0,518.2097859978967,0
1,30.0,578.6880389969156,0
1,0.0,535.0837149999279,1
1,-15.0,553.27255100201,1
1,-30.0,554.9251419979555,1
1,-45.0,610.7919409987517,1
1,15.0,551.5252860022883,1
1,15.0,569.1848349997599,1
1,-30.0,517.1585960015364,1
1,45.0,623.4151520002342,0
1,-15.0,518.3793109972612,0
1,-30.0,514.356786999997,0
1,-45.0,665.9351029993559,1
1,0.0,507.78696900306386,0
1,30.0,489.379447997635,0
1,15.0,533.8359169982141,1
1,30.0,544.9732980014232,1
1,15.0,538.1500049988972,1
1,45.0,789.9588090003817,0
1,45.0,477.9686789988773,0
1,30.0,570.5490670006839,0
1,-15.0,539.6629470014886,1
1,-30.0,611.0095049989468,0
1,30.0,650.5590199994913,1
1,45.0,528.2710989995394,0
1,-15.0,519.7651620001125,1
0,45.0,526.9771310013311,1
1,30.0,628.1579870010319,1
1,-45.0,785.9465649999038,1
1,30.0,775.7308110012673,1
1,0.0,498.33658800343983,1
1,0.0,511.9524680012546,1
1,15.0,515.0868399978208,1
1,-15.0,472.99606099841185,1
1,30.0,605.6587219973153,0
1,-45.0,489.0331140013586,1
1,-30.0,539.0601090002747,0
1,-15.0,566.7642150001484,0
1,-30.0,531.7352609999944,1
1,-30.0,488.5424089989101,1
1,30.0,464.6668249988579,0
1,15.0,590.1124499978323,1
1,-15.0,540.2188839980226,0
1,45.0,569.4240350021573,1
1,-15.0,510.547834001045,0
1,-15.0,438.37583800268476,1
1,-45.0,568.2057550002355,0
1,0.0,499.5834100009233,0
1,0.0,474.43079599906923,1
1,30.0,403.3657319996564,1
1,-45.0,525.5184529996768,0
1,30.0,530.955633999838,1
0,-45.0,499.51580699780607,1
1,0.0,533.6756869983219,0
1,30.0,515.3651349974098,0
1,0.0,505.27460200100904,0
1,-30.0,552.026081000804,0
1,45.0,650.2998510004545,1
1,45.0,625.5805040018458,0
1,15.0,548.9902999979677,0
1,-45.0,565.3478459971666,0
1,-30.0,572.4514620014816,0
1,45.0,493.9362179975433,1
1,-30.0,661.3417439984914,1
1,-30.0,524.9796070020238,0
1,45.0,551.5471379985684,0
1,-45.0,557.2298109982512,1
1,-45.0,600.2663920007762,0
1,45.0,614.3828060012311,0
1,-45.0,520.8947240025736,1
