Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-45.0,1023.4223259903956,1
1,-60.0,559.2913779837545,1
1,-30.0,575.1065039949026,0
1,75.0,642.4281750223599,1
1,30.0,601.9285869842861,1
1,0.0,514.6075429802295,0
1,0.0,530.270153976744,1
1,-15.0,541.3494539970998,0
1,0.0,588.1723369820975,1
1,-15.0,491.9782599899918,0
1,75.0,540.7030939823017,0
1,90.0,575.9535359975416,0
1,45.0,568.2134790113196,0
1,-45.0,545.5256589921191,0
1,90.0,568.9082159951795,0
1,-45.0,531.1649610230234,0
1,45.0,551.5091950073838,1
1,-45.0,532.6938849757425,1
1,75.0,542.7264000172727,0
1,45.0,538.2389379956294,1
0,30.0,778.664517973084,0
1,-90.0,574.8582560045179,0
1,0.0,573.3831500110682,0
1,60.0,505.03970799036324,0
1,-75.0,663.2035769871436,1
1,45.0,561.2773079774342,0
1,-45.0,620.0563219899777,0
1,90.0,545.5214119865559,0
1,-75.0,779.1515580029227,1
1,-30.0,499.9280630145222,0
1,-90.0,598.2395639875904,1
1,-75.0,678.9692559977993,0
1,-60.0,565.7094359921757,0
1,30.0,533.9854580233805,0
1,45.0,604.9599649850279,1
1,-90.0,550.3845589992125,0
1,-75.0,561.3611179869622,1
1,75.0,661.3650789950043,1
1,60.0,540.85911999573,1
1,30.0,490.92872999608517,0
1,-30.0,777.1313860139344,0
1,-60.0,570.620140992105,1
1,-90.0,660.852472006809,1
1,-75.0,560.844030987937,1
1,-15.0,532.7976379776374,1
1,-90.0,626.0295989923179,1
1,-60.0,573.0744260072242,1
1,45.0,545.960350020323,0
1,0.0,570.7399449893273,1
1,45.0,555.4090750229079,1
1,-15.0,520.4143399896566,1
1,0.0,520.0428070093039,1
1,-45.0,574.3371590215247,1
1,75.0,636.021382000763,1
1,75.0,578.6335390002932,1
1,45.0,515.3112310217693,0
1,45.0,596.5766239969525,1
1,-15.0,514.9146460171323,0
1,0.0,524.5241030061152,0
1,15.0,460.88126400718465,1
1,-60.0,566.9494690082502,0
0,75.0,785.1006749842782,0
1,-30.0,550.8650190022308,1
1,-30.0,435.5420930078253,0
1,-15.0,555.8508559770416,1
1,-45.0,563.68787001702,1
1,-75.0,613.2291200046893,1
1,-90.0,583.2340060151182,1
1,15.0,527.5854800129309,0
1,0.0,521.3899550144561,0
1,30.0,536.9750550016761,0
1,60.0,572.1099270158447,0
1,60.0,676.3346079969779,1
1,-90.0,629.2952460062224,1
1,15.0,565.5699580092914,1
1,-15.0,493.7622949946672,0
1,0.0,568.7454610015266,1
1,60.0,633.0847500066739,1
1,-15.0,462.639075005427,1
1,-60.0,552.8267420013435,0
1,-60.0,500.95920197782107,1
1,-90.0,503.96099098725244,1
1,-60.0,457.22807600395754,1
1,30.0,484.08950699376874,1
1,90.0,568.2883620029315,1
1,-75.0,492.43721200036816,0
1,-15.0,570.5285889853258,1
1,-75.0,526.1252740165219,0
1,60.0,504.41033599781804,1
1,90.0,584.9276480148546,1
1,0.0,579.256160010118,1
1,-45.0,482.8289769939147,1
1,90.0,584.4649850041606,1
1,-90.0,566.6764669877011,0
1,15.0,513.9747420034837,0
1,15.0,585.1529319770634,0
1,15.0,523.6071959952824,0
1,75.0,572.2879859968089,0
1,-90.0,585.777539992705,1
1,90.0,602.9751440219115,0
1,-30.0,631.4113950065803,1
1,-30.0,600.8749129832722,0
1,-45.0,577.0980130182579,0
1,60.0,550.0392550020479,0
1,15.0,518.3043699944392,0
1,15.0,547.5403300079051,0
1,-30.0,619.5403739984613,1
1,60.0,529.1601049830206,1
1,-30.0,591.7228450125549,0
1,-75.0,566.8947460071649,0
1,60.0,573.1835110054817,0
1,30.0,656.9015599961858,0
1,60.0,575.0468570040539,1
1,0.0,561.3234839984216,0
1,-75.0,551.4683579967823,0
1,-60.0,656.4726240176242,1
1,-15.0,556.7126400128473,0
1,-60.0,660.2522000030149,1
1,45.0,646.9698550063185,1
1,15.0,563.0714129947592,1
1,-45.0,498.24842798989266,0
1,15.0,517.249440017622,0
1,30.0,564.5490240131039,1
1,60.0,552.7029559889343,0
1,75.0,569.9469590035733,1
1,90.0,713.3630850003101,0
1,-30.0,568.6817360110581,0
1,75.0,529.4356289959978,0
1,90.0,586.8624300055671,1
1,30.0,585.4639550088905,0
1,30.0,628.6663079808932,1
1,-60.0,511.8681969761383,0
1,-90.0,561.6695969947614,1
1,15.0,684.9868040008005,1
1,-75.0,503.22509999386966,0
1,0.0,566.3344589993358,0
1,-45.0,630.2717470098287,1
1,30.0,565.27488399297,1
1,45.0,546.198808006011,1
1,90.0,702.383858995745,0
1,30.0,616.2132220051717,1
1,90.0,604.7455219959375,1
1,-30.0,532.9367230006028,1
1,90.0,574.8313149961177,0
1,75.0,606.8190980004147,1
1,60.0,544.4096340215765,0
1,-45.0,523.5730099957436,0
1,-30.0,602.16544099967,1
1,75.0,584.8135069827549,0
1,-15.0,524.9060500063933,0
0,-15.0,732.505399006186,1
1,15.0,635.9718700114172,1
1,-75.0,594.0623420174234,0
1,-60.0,597.4129550158978,0
1,-90.0,582.5994579936378,1
1,45.0,567.2676039976068,1
1,30.0,531.2100820010528,0
1,75.0,654.3489299947396,1
1,-15.0,684.6010940207634,0
