Correct Response,Rotation (deg),Reaction Time (ms),Target
1,30.0,527.6730000005045,0
1,45.0,528.3245999999053,1
1,75.0,553.0007999986992,1
1,30.0,544.9385000028997,1
1,45.0,608.9456000008795,1
1,0.0,485.9704000009515,0
1,15.0,646.2566000009247,0
0,90.0,487.5154000001203,0
1,75.0,681.5153999996255,1
1,30.0,499.61009999969974,0
1,90.0,580.8499000013398,1
1,30.0,578.8864999994985,0
1,60.0,664.8491999985708,1
1,60.0,699.5045999974536,1
1,30.0,556.0868000029586,0
1,45.0,555.5124999991676,1
1,60.0,570.7999000005657,0
1,15.0,577.479299998231,0
1,60.0,534.7537999987253,1
1,75.0,694.14119999783,1
1,15.0,439.4240000001446,0
1,75.0,714.7506999972393,0
1,90.0,626.6849000021466,0
1,15.0,694.6852000000945,1
1,15.0,521.3833000016166,1
1,60.0,561.9894999981625,1
1,30.0,513.2859000004828,0
1,45.0,489.32480000075884,0
1,30.0,587.2349999990547,1
1,15.0,497.5573000010627,0
1,60.0,642.5754000010784,0
1,45.0,606.6453999992518,1
1,45.0,547.2584999988612,0
1,60.0,649.9367000033089,0
1,30.0,557.2290000018256,1
1,60.0,523.2033999964187,0
1,30.0,563.1718999975419,0
1,0.0,521.1268999992171,0
1,0.0,521.8439000018407,0
1,45.0,626.4150000024529,1
1,0.0,718.5036999981094,1
1,45.0,510.4523000009067,0
1,15.0,519.0762999991421,0
1,45.0,455.2044999982172,0
1,30.0,570.3677999990759,1
1,75.0,457.73470000131056,1
1,0.0,461.03990000119666,0
1,15.0,519.6771999981138,0
1,0.0,455.66060000055586,1
1,15.0,507.3969999975816,1
1,15.0,436.97229999816045,1
1,15.0,506.87549999929615,0
1,0.0,427.50599999999395,0
1,0.0,384.17999999728636,0
1,75.0,564.0917999990052,0
1,15.0,562.1543000015663,1
1,30.0,417.430699999386,1
1,0.0,503.075099997659,0
1,75.0,464.10370000012335,1
1,60.0,698.0361000023549,0
1,75.0,563.3899000022211,1
1,30.0,554.6963999986474,1
1,0.0,514.057699998375,0
1,0.0,443.3783000022231,0
1,90.0,703.6606999972719,0
1,90.0,703.9920999995957,0
1,90.0,617.3152000010305,1
1,0.0,533.8979000007384,0
1,75.0,701.947099998506,0
1,90.0,719.2083000009006,1
1,45.0,607.2260000000824,0
1,75.0,500.5693000020983,0
1,60.0,598.1470000006084,1
1,15.0,498.46489999981713,0
1,90.0,699.4210000011662,0
1,60.0,515.8382000008714,0
1,0.0,580.5154999980005,1
1,75.0,505.75970000136294,0
1,75.0,587.0571999985259,1
1,30.0,521.3842000011937,0
1,60.0,521.0845999972662,0
1,60.0,617.7674999998999,1
1,0.0,517.676900002698,1
1,30.0,509.7134999996342,1
1,45.0,439.02910000178963,1
1,15.0,482.3417999978119,1
1,30.0,483.71250000127475,0
1,60.0,508.95650000165915,0
1,0.0,517.6641000034579,0
1,30.0,550.2870999989682,0
1,45.0,509.625300001062,1
1,0.0,486.30169999887585,0
1,60.0,485.713999998552,1
1,75.0,536.9461000009323,1
1,45.0,592.9228000022704,1
1,90.0,836.2114999981713,1
1,15.0,559.1865999995207,0
1,45.0,526.9248000004154,0
1,15.0,510.8011999982409,1
1,60.0,480.1502999980585,0
1,45.0,538.1127000000561,1
1,0.0,533.2567000004929,1
1,30.0,485.33709999901475,0
1,75.0,503.2256000013149,1
1,45.0,527.8961000003619,0
1,60.0,551.9146000006003,1
1,60.0,511.1966999975266,0
1,45.0,447.9566000009072,0
1,15.0,506.59280000036233,1
1,15.0,419.8683000031451,1
1,45.0,520.5874999992375,0
1,30.0,472.5038000033237,0
1,15.0,394.5836999992025,0
1,15.0,512.4852000008104,0
1,45.0,529.452399998263,0
1,60.0,624.544700000115,0
1,45.0,685.1016999971762,1
1,75.0,694.4956999977876,0
1,75.0,760.3966000024229,1
1,45.0,511.1106000003929,0
1,30.0,560.3883000003407,1
1,30.0,495.0755999998364,0
1,30.0,489.93759999939357,0
1,45.0,475.72109999964596,0
1,60.0,501.75099999978556,0
1,15.0,526.3678000010259,1
1,90.0,774.3253000007826,1
1,75.0,525.6327000024612,1
1,15.0,669.6048000012524,1
1,90.0,568.2884000016202,0
1,0.0,534.2758000006143,0
1,0.0,414.91559999849414,0
1,90.0,683.5429999991902,0
1,15.0,572.9565999972692,0
1,15.0,602.8704000018479,1
1,90.0,752.1831000012753,1
1,30.0,542.9628000019875,0
1,75.0,702.880599998025,1
1,75.0,736.8678999991971,1
1,60.0,576.1125999997603,0
1,0.0,510.1286999997683,0
1,90.0,495.435600001656,1
1,45.0,633.4294999978738,1
1,75.0,732.796899999812,1
1,30.0,581.4361000011559,1
1,60.0,555.4439000006823,0
1,75.0,554.0587000032247,1
1,45.0,592.7579999988666,0
1,90.0,606.0722999973223,1
1,30.0,691.991899999266,1
1,60.0,910.0326000007044,0
1,15.0,505.1095000017085,0
1,0.0,505.8348999991722,0
1,0.0,411.77629999947385,0
1,60.0,521.1083999965922,1
1,75.0,673.1608999980381,0
1,0.0,507.1210999994946,1
1,75.0,459.73469999808003,1
1,0.0,543.0481000003056,0
1,15.0,471.03100000094855,0
1,60.0,585.3922000023886,0
1,60.0,503.0077000010351,0
1,90.0,631.6864999971585,1
1,30.0,587.7651999981026,1
1,60.0,633.0139999990934,1
1,0.0,652.271800001472,1
1,90.0,575.5930000013905,0
1,75.0,646.3017999994918,1
1,0.0,498.2765000022482,0
1,75.0,762.278400001378,1
1,90.0,649.5566000012332,0
1,0.0,530.9116999997059,0
1,90.0,697.821899997507,1
0,90.0,571.5823999998975,0
1,0.0,521.5181999992637,1
1,75.0,489.5065999990038,1
1,90.0,746.810299999197,0
1,90.0,770.1565999996092,1
1,15.0,632.0451999999932,1
1,75.0,724.0598000025784,1
1,75.0,749.6508999975049,1
1,15.0,612.0611000005738,1
1,90.0,617.3139000020456,1
1,75.0,646.0375999995449,1
1,90.0,786.7052000001422,1
1,30.0,680.6838000011339,1
1,90.0,586.6042000016023,1
1,45.0,696.7282000005071,1
1,30.0,545.9388999988732,1
1,75.0,641.2943000032101,0
1,30.0,660.6156000016199,0
1,45.0,543.2077999976173,0
1,45.0,567.2272000010707,1
1,45.0,677.9274999971676,0
1,60.0,680.5774999993446,1
1,0.0,473.88990000035847,0
1,15.0,603.8119000004372,1
1,0.0,456.49309999862453,0
1,30.0,619.8605000026873,1
1,45.0,543.8624999987951,0
1,15.0,607.1768000001612,1
1,75.0,571.7882000026293,1
1,45.0,508.91909999700147,1
1,90.0,525.6322000022919,0
1,15.0,470.304300000862,0
1,60.0,464.2792000013287,0
1,15.0,490.22279999917373,0
1,0.0,531.5546999991057,1
1,60.0,611.499399998138,1
1,75.0,488.8682000018889,1
1,0.0,482.80720000184374,0
1,60.0,540.1530999988609,0
1,15.0,651.4934000006178,1
1,30.0,510.1399000013771,0
1,75.0,750.8202999997593,1
1,15.0,517.459400001826,0
1,15.0,470.0226000022667,0
1,90.0,704.6842000017932,1
1,60.0,609.4593000016175,1
1,60.0,518.1066000004648,0
1,45.0,606.6713000000163,1
1,15.0,548.0731000025116,1
1,90.0,602.6598999997077,0
1,45.0,608.0406999972183,0
1,0.0,500.6415999996534,1
1,60.0,526.0103000000527,0
1,45.0,573.9202000004298,1
1,60.0,555.9529999991355,0
1,30.0,603.2654999980878,0
1,75.0,511.8279000016628,0
1,90.0,513.2364000019152,0
1,15.0,577.2168000003148,1
1,75.0,791.2093999984791,1
1,30.0,541.9125000007625,1
1,45.0,637.8659999973024,1
1,60.0,585.1158000004943,1
1,90.0,582.467699998233,1
1,75.0,653.1699000006483,1
1,60.0,519.8482999985572,0
1,60.0,664.4405000006373,1
1,60.0,547.122700001637,0
1,30.0,514.4814000013866,0
1,30.0,634.4277999996848,0
1,15.0,613.6954000030528,1
1,30.0,481.73139999926207,1
1,90.0,515.7075999995868,0
1,30.0,524.4745999989391,0
1,15.0,549.092199998995,0
1,60.0,500.37800000063726,0
1,75.0,461.05159999933676,0
1,30.0,528.5570999985794,1
1,0.0,528.2896000026085,1
1,30.0,671.4501999995264,0
1,30.0,666.1711999986437,1
1,75.0,549.4811999997182,1
1,45.0,660.6814000006125,1
1,75.0,583.4639000022435,0
0,90.0,460.73790000082226,1
1,45.0,607.3948000012024,0
1,75.0,444.0245000005234,0
1,90.0,559.9944999994477,1
1,30.0,702.6938000017253,0
1,90.0,671.283299998322,0
1,90.0,625.9481999986747,1
1,0.0,534.7158999975363,0
1,45.0,558.6714999990363,0
1,45.0,565.2702000006684,1
1,15.0,475.9306999985711,0
1,75.0,557.9434999999648,0
1,0.0,564.7185999987414,1
1,90.0,586.5630000007513,0
1,30.0,528.5374999984924,0
1,30.0,720.5620999993698,0
1,90.0,497.2482000011951,0
1,30.0,514.4987999992736,0
1,60.0,507.15409999975236,0
1,45.0,435.78139999954146,0
1,0.0,511.1436000006506,0
1,0.0,441.1116999981459,0
1,15.0,508.4279000002425,1
1,90.0,581.0896000002685,0
1,0.0,514.452600000368,0
1,0.0,459.0134999998554,0
1,75.0,645.6546999979764,1
1,60.0,625.7447999996657,0
1,0.0,494.3423000004259,0
1,90.0,632.3764000007941,1
1,0.0,499.69639999835636,0
1,45.0,540.9765000003972,0
1,75.0,516.2778000012622,0
1,45.0,484.2857000003278,0
1,90.0,590.2936000020418,1
1,90.0,627.6287000000593,0
1,60.0,496.2573999982851,0
1,15.0,553.2110999993165,1
1,90.0,575.6287000003795,1
1,0.0,510.25060000029043,0
1,90.0,518.8583000017388,0
1,45.0,511.49680000162334,1
1,15.0,496.1942000009003,0
1,45.0,594.1888000015751,1
1,90.0,912.1341999998549,1
1,90.0,681.4627999992808,0
1,90.0,573.8901000004262,1
