Correct Response,Rotation (deg),Reaction Time (ms),Target
1,75.0,572.8447999999844,0
1,-60.0,735.5021000003035,1
1,45.0,667.1785000003183,0
1,75.0,617.4416999997447,1
1,75.0,579.4882000000143,0
1,-90.0,801.3856000002306,0
1,90.0,546.6918000001897,1
0,45.0,697.377200000119,1
1,-45.0,614.7592000002078,0
1,-15.0,514.7171000003254,0
1,-45.0,523.0578000000605,0
1,15.0,498.7157999998999,0
1,75.0,467.31679999993503,0
1,75.0,600.6164000000354,1
1,15.0,522.6108000001659,0
1,-45.0,447.2932000003311,1
1,-15.0,468.6580999996295,0
1,30.0,471.2467999997898,0
1,-90.0,480.5427999999665,0
1,45.0,502.50080000023445,1
1,-75.0,529.869200000121,0
1,-30.0,495.8424000001287,1
1,30.0,628.573200000119,0
0,45.0,566.5936999998848,0
1,-90.0,580.4603000001407,0
0,60.0,567.3824000000423,0
1,-45.0,649.7828999999911,1
1,60.0,884.4220999999379,1
1,-45.0,567.6082999998471,1
1,-90.0,690.5897999999979,0
1,30.0,544.2345000001296,1
1,0.0,524.2010000001756,0
1,-75.0,600.8704000000762,1
1,-45.0,469.5722999999816,1
1,-30.0,596.1348000000726,0
1,-15.0,478.1653999998525,1
1,-75.0,544.1307000000961,1
0,-30.0,540.8775000000787,0
1,0.0,487.4459999996361,0
1,-30.0,469.49739999990925,1
1,30.0,823.3787000003758,1
1,-90.0,603.425000000243,1
1,-60.0,432.1479000000181,1
1,-30.0,680.7103999999526,0
1,30.0,770.0409999997646,0
1,0.0,628.8180000001375,0
1,-15.0,504.67429999980595,0
1,75.0,715.9461000001102,1
1,-75.0,590.2704000000085,1
1,-30.0,547.2676000003958,1
1,45.0,614.6167000001697,0
1,60.0,607.2300999999243,1
1,-30.0,673.8081999997121,1
1,-15.0,522.5851000000148,0
1,30.0,565.027099999952,0
0,15.0,535.8197000000473,1
1,45.0,537.0364000000336,1
1,-45.0,495.9884999998394,1
1,0.0,545.7362000001922,1
1,-90.0,544.9668999999631,1
1,-45.0,496.3102000001527,1
1,0.0,477.6889999998275,0
1,-75.0,831.6200000003846,0
1,45.0,586.9013999999879,0
1,15.0,677.5903000002472,0
1,15.0,644.2643999998836,0
1,30.0,724.8899000001074,0
1,-30.0,753.562200000033,1
1,15.0,541.5471000001162,0
1,75.0,535.4239000002963,1
1,-30.0,526.1725000000297,0
1,-90.0,562.8071000001,1
1,-75.0,449.4866000000002,1
1,-45.0,617.43129999968,0
1,-90.0,642.1477999997478,0
1,-60.0,610.0257000002784,1
1,-15.0,459.46090000006734,0
1,75.0,578.7414000001263,1
1,-60.0,496.7443999998977,1
1,75.0,505.3428000001077,1
1,-75.0,556.5743999995902,0
1,-60.0,561.4524000002348,1
1,-90.0,559.8342000002958,1
1,60.0,534.506699999838,1
1,-75.0,578.489399999853,0
1,75.0,488.52439999973285,0
1,90.0,534.4490000002224,1
1,-30.0,546.4124999998603,0
1,30.0,622.6515999996991,0
1,-45.0,666.7025000001559,0
0,-90.0,617.0295000001715,1
1,75.0,696.5408000000934,0
1,75.0,635.0078000000394,0
1,-90.0,514.9618000000373,0
1,-15.0,539.2179999998916,0
1,-30.0,527.0292999998674,1
1,-60.0,567.081600000165,1
1,0.0,514.3289000002369,0
1,-75.0,607.2438000001057,0
1,-60.0,536.2516000000142,1
1,15.0,544.0026999999645,1
1,-75.0,556.2348000003112,0
0,90.0,479.59969999965324,1
1,90.0,545.7953000000089,1
1,-30.0,606.241499999669,0
1,-90.0,607.5100999996721,1
1,-60.0,434.2471999998452,1
1,-60.0,598.6413999999058,0
1,30.0,560.0390999998126,1
1,30.0,550.6319999999505,1
1,0.0,493.3028000000377,1
1,30.0,519.0748999998505,1
1,15.0,570.6371000001127,0
1,-30.0,656.602600000042,0
1,90.0,659.227600000122,0
0,75.0,682.74190000011,1
1,45.0,656.9386999999551,0
1,60.0,760.6717999997272,1
1,30.0,655.1752000000306,1
1,-60.0,513.8495000001058,1
1,0.0,543.1802999996762,0
1,-30.0,595.4603000000134,1
1,30.0,526.938599999994,1
1,-90.0,656.4389000000119,1
1,60.0,547.1099000001232,1
1,15.0,537.7246000002742,1
1,-45.0,545.0869000001148,1
1,-15.0,517.3059999997349,0
1,15.0,541.0180999997465,0
1,-90.0,721.996499999932,0
1,-15.0,553.0134000000544,1
1,30.0,540.5956999998125,0
1,75.0,672.2757000002275,1
1,90.0,640.1581999998598,0
1,-30.0,560.1201999998011,0
1,15.0,531.4914999999019,1
1,-75.0,618.8120000001618,1
1,15.0,614.7495999998682,1
1,90.0,546.7474000001857,1
1,15.0,521.4128999996319,1
1,60.0,599.0044999998645,0
0,60.0,515.3685999998743,0
1,-15.0,488.01330000014786,1
1,90.0,537.3118999996223,1
1,-60.0,534.0080000000853,0
1,-75.0,610.0162999996428,0
1,60.0,633.2935000000361,1
1,-45.0,590.7922000001236,1
1,-60.0,641.2930999999844,0
1,-75.0,527.8819999998632,0
1,45.0,708.8489999996455,1
1,30.0,613.2246999995914,1
1,-60.0,576.904900000045,1
1,45.0,719.1938000000846,1
