Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-75.0,523.3962000002066,0
1,90.0,564.7425000006479,0
1,-30.0,636.011800000233,1
1,60.0,640.6680999998571,0
1,-30.0,548.5861999995905,0
0,90.0,644.6329000000333,1
1,75.0,497.27600000005623,1
1,-75.0,570.6201000002693,0
1,0.0,625.9049999998751,0
1,15.0,623.2851999993727,1
0,-75.0,764.7876000000906,1
1,-75.0,643.2205999999496,0
0,60.0,647.2498000002815,0
1,15.0,595.85479999987,1
1,0.0,442.5139000004492,1
1,45.0,478.52080000029673,1
1,0.0,521.8386000005921,0
1,-90.0,492.83850000028906,1
0,45.0,499.18650000017806,0
1,-60.0,773.1182999996236,0
1,-30.0,524.3820999994568,0
1,-90.0,589.779500000077,0
1,60.0,628.4223000002385,1
1,-45.0,535.7307999993282,1
1,45.0,624.3754999995872,0
1,90.0,477.72089999944,0
1,0.0,576.4341999993121,1
1,-45.0,544.3645000004835,1
1,-90.0,528.3671999995931,0
1,60.0,633.6719000000812,1
1,60.0,566.2840000004508,1
1,75.0,613.6639000005744,1
1,90.0,1074.925799999619,0
0,-75.0,678.2702999998946,0
1,-30.0,481.7025999991529,1
1,60.0,532.2666000001846,1
1,0.0,788.9337999995405,1
1,45.0,523.9184000001842,1
1,-45.0,532.2758999991493,0
0,-60.0,604.8862999996345,0
1,-45.0,634.8965999995926,1
1,15.0,527.7498000004925,1
1,15.0,688.7948999992659,0
1,-45.0,730.8053999995536,0
1,-75.0,603.475900000376,0
1,-15.0,481.4520999998422,0
1,-30.0,492.1205999999074,0
1,-15.0,670.8011999999144,1
1,-15.0,490.1235999996061,1
1,45.0,500.08840000009513,0
1,-30.0,558.0808000004254,1
1,30.0,582.056599999305,1
1,15.0,524.6995999996216,1
1,60.0,828.0575999997382,0
1,-90.0,889.3729999999778,0
1,90.0,740.0379999999132,1
0,-15.0,672.1892000005028,0
1,60.0,683.3560000004582,1
1,90.0,597.8412000004028,1
1,60.0,499.99019999995653,1
1,90.0,501.1698999996952,0
1,-60.0,487.2519000000466,0
0,75.0,553.8130999993882,0
1,75.0,545.7530999992741,1
1,0.0,626.4670999998998,0
1,30.0,447.7486999994653,0
1,-30.0,547.7242000006299,0
1,-60.0,539.1050999996878,0
1,90.0,667.717399999674,0
1,90.0,533.5643999997046,0
1,-60.0,807.0558999997957,1
1,-90.0,725.0452999996924,0
1,30.0,685.6940999996368,0
1,-15.0,480.3403999994771,0
1,-90.0,626.9876000005752,0
1,-75.0,784.290399999918,0
1,-75.0,543.0062999994334,0
1,-90.0,519.6766999997635,0
1,-60.0,497.0016000006581,0
1,90.0,706.9308999998611,1
1,-75.0,554.2541000004348,0
1,15.0,546.269399999801,0
1,-60.0,457.9919999996491,0
1,30.0,447.05250000060914,0
1,30.0,554.8632999998517,1
1,60.0,514.7649000000456,0
1,-15.0,692.2154000003502,0
1,-45.0,606.8700000005265,1
1,30.0,483.6649999997462,0
1,90.0,510.84590000027674,0
1,60.0,624.7949999997218,1
1,60.0,614.1319999996995,0
1,-15.0,539.4478000007439,1
1,90.0,540.1105000000825,1
1,-15.0,484.03000000053,0
1,30.0,534.7514999994019,1
1,-45.0,534.7976000002745,0
1,30.0,567.994500000168,1
1,-45.0,606.7692999995415,0
1,60.0,564.7668999999951,1
1,75.0,540.0014000006195,0
1,75.0,684.6623999999792,1
0,0.0,455.31420000043,1
1,75.0,523.2801999991352,1
1,30.0,546.6481999992538,0
1,-15.0,506.60729999981413,1
1,-90.0,628.6286000004111,1
1,15.0,505.8940999997503,1
1,75.0,579.9235000004046,0
1,45.0,635.0961999996798,0
0,-75.0,543.7850000007529,0
1,-90.0,623.743199999808,0
1,-45.0,556.9842999993853,1
0,-90.0,477.01580000011745,0
1,45.0,576.3629000002766,1
1,-60.0,576.0309999996025,0
