Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-30.0,693.8321000016003,1
1,-30.0,531.8441000017629,1
1,0.0,491.79959999673883,1
1,-30.0,710.8397000010882,0
1,-15.0,622.440999999526,0
1,-15.0,549.0465000002587,0
1,-45.0,450.18139999956475,0
1,-30.0,676.1201000008441,1
1,-30.0,668.7660000025062,0
0,45.0,648.1763000010687,1
1,0.0,675.0269999974989,0
1,15.0,1003.3638999993855,1
1,0.0,567.3086000024341,0
1,-15.0,508.0727000022307,1
0,45.0,587.0082000001275,1
1,0.0,808.3306999978959,1
1,45.0,636.3248999987263,0
1,30.0,901.9845000002533,1
1,-15.0,669.2370999990089,1
1,15.0,577.5391999995918,0
1,-45.0,682.6159000011103,0
1,45.0,531.3305999989097,0
1,-45.0,566.7826999997487,0
1,0.0,547.9739000002155,0
1,-45.0,662.5392999994801,1
1,-15.0,611.8662000008044,1
1,-15.0,564.1092999976536,1
1,-45.0,566.8009000000893,0
1,30.0,1007.4203000003763,1
1,15.0,643.0590000018128,1
1,-15.0,604.8426999986987,0
1,30.0,798.3844999980647,1
1,0.0,534.743600001093,1
1,30.0,617.5918999979331,1
1,-15.0,612.6962999987882,1
1,45.0,620.0086999997438,0
1,0.0,555.3560999978799,1
1,0.0,522.2619999985909,0
1,-15.0,525.2919999984442,1
1,-45.0,532.6237000008405,1
1,-30.0,607.2739999981422,1
1,30.0,597.921699998551,0
1,-15.0,621.8890999989526,1
1,-15.0,618.1608000006236,1
1,0.0,477.4448999996821,1
1,0.0,534.8272000010184,1
1,-45.0,661.8656999999075,1
1,15.0,567.1775999981037,1
1,-45.0,743.896500000119,0
1,0.0,633.8881000010588,0
1,-30.0,556.0141999994812,0
1,45.0,709.7290999990946,0
1,-15.0,552.4371000028623,1
1,-30.0,526.4577999987523,0
1,-45.0,804.7146999997494,0
1,30.0,643.1343000003835,0
1,30.0,803.9845999992394,1
1,-30.0,571.9967999975779,0
1,45.0,855.6815000010829,1
1,0.0,561.6647999995621,1
1,-45.0,915.2581999987888,1
1,-15.0,578.5347999990336,0
1,15.0,689.649299998564,1
1,45.0,729.2336999998952,0
1,30.0,739.7858000003907,1
1,15.0,617.8588000002492,1
1,-45.0,808.9542999987316,1
1,15.0,571.8055999968783,1
1,15.0,524.144900002284,0
1,-45.0,658.8273000015761,0
1,15.0,563.5266999997839,1
1,0.0,504.1590999971959,0
1,-45.0,868.1115999970643,0
1,30.0,681.4383999990241,1
1,0.0,502.1097999997437,1
1,-30.0,553.7301000003936,0
1,30.0,839.446300000418,1
1,45.0,553.9773999989848,0
1,45.0,739.7692999984429,0
1,15.0,577.7041000001191,1
1,15.0,589.6800000009534,0
1,15.0,521.2757999979658,0
1,30.0,571.9903999997769,0
1,30.0,633.2497000003059,1
1,30.0,800.5699999994249,1
1,45.0,600.3323000004457,0
1,45.0,632.2390999994241,0
0,-45.0,899.2120000002615,1
1,15.0,522.2393000003649,0
1,30.0,697.4875000014435,1
1,15.0,620.8861000013712,0
1,45.0,640.4863000025216,0
1,30.0,706.4518000006501,0
1,45.0,625.7030999986455,0
1,-30.0,623.8460999993549,1
1,30.0,574.0957000016351,0
1,-15.0,723.0054999999993,1
1,-45.0,594.2877999987104,1
1,15.0,521.3441999985662,0
1,-30.0,617.3149999995076,1
1,45.0,668.301400000928,0
1,15.0,703.3743000029062,0
1,0.0,615.3902000005473,1
1,0.0,382.7808999994886,1
1,-30.0,618.7919999974838,1
1,15.0,616.7919999970763,0
1,15.0,703.4110999993572,1
0,45.0,689.9096000015561,0
1,-45.0,625.8367000009457,1
1,0.0,479.8432999996294,1
1,45.0,676.481700000295,0
1,0.0,505.3617999983544,1
1,-45.0,795.7566999975825,0
1,-30.0,639.7027999992133,1
1,0.0,509.0522999998939,1
1,30.0,595.9609999990789,0
1,-15.0,615.7426000027044,0
1,-45.0,749.7584000011557,0
1,45.0,659.2356999972253,0
1,-15.0,643.8564999989467,1
0,30.0,1085.027999997692,1
1,15.0,800.9830999981205,0
1,-45.0,696.2106999999378,0
1,-30.0,567.6372999987507,0
1,45.0,828.5280000018247,1
1,30.0,646.4340999991691,1
1,-30.0,668.2481999996526,1
1,0.0,541.5176000024076,1
1,-15.0,555.37330000152,1
1,-30.0,493.74400000306196,1
1,45.0,688.0587000014202,1
1,0.0,596.7466999973112,0
1,-30.0,572.4668000002566,1
1,-15.0,533.7995000008959,1
1,-15.0,625.3128999996989,1
1,0.0,491.7563999988488,0
1,-30.0,567.3375999976997,0
1,-30.0,489.26720000235946,0
1,0.0,505.2819999982603,0
1,15.0,593.0230999983905,0
1,30.0,649.2170999990776,1
1,-45.0,650.923100001819,0
1,-30.0,624.9367000018538,1
1,-45.0,571.848299998237,1
1,30.0,646.9730000026175,0
1,15.0,612.2719000013603,1
1,-15.0,623.5679000019445,1
1,0.0,606.1970000009751,0
1,45.0,746.235999999044,1
1,-15.0,642.4392000008083,0
1,45.0,564.4327999980305,1
1,45.0,761.0805000003893,0
1,-45.0,793.3787999972992,1
1,45.0,577.1034999997937,1
1,30.0,453.49979999809875,1
