Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-30.0,532.9578999999285,1
1,-15.0,496.2472000006528,0
1,15.0,628.0214999997042,0
1,90.0,580.7721000001038,1
1,-30.0,593.3405000005223,1
1,-60.0,577.3449999996956,1
1,-75.0,598.0177999999796,1
1,0.0,510.6914999996661,0
1,-60.0,523.9399999991292,1
1,-60.0,539.3149999999878,1
1,15.0,469.8962999991636,1
1,90.0,651.2465999994674,1
1,-60.0,493.25880000014877,1
1,-90.0,593.352999999297,1
1,90.0,661.1937000006947,1
1,60.0,578.5368000006201,1
1,-60.0,543.2046999994782,1
1,-75.0,653.1103999996049,1
1,90.0,638.4936000004018,1
1,15.0,617.0936999997139,1
1,0.0,480.41400000056456,1
1,-60.0,665.0506000005407,1
1,0.0,563.5093999999299,0
1,0.0,515.0094999999055,1
1,60.0,618.3498999998847,1
1,15.0,513.7915000004796,0
1,-15.0,583.3452999995643,1
1,0.0,488.814000000275,0
1,0.0,607.5275000002875,1
1,30.0,591.2586000004012,1
1,45.0,551.226300000053,1
1,60.0,541.9323999994958,0
1,-45.0,607.9141999998683,0
1,-30.0,608.2911999992575,0
1,30.0,549.2008000001078,0
1,15.0,532.2740999999951,1
1,-30.0,559.2169000001377,1
1,-15.0,592.4815999997008,1
1,-60.0,516.6001999996297,0
1,45.0,608.185300000514,0
1,-75.0,727.7847999994265,0
1,30.0,624.0462000005209,1
1,30.0,645.0349999995524,0
1,15.0,584.3729999996867,1
1,-15.0,545.637600000191,0
1,45.0,583.6377999994511,0
1,-30.0,622.3560999997062,1
1,-15.0,558.3219000000099,0
1,-90.0,749.6569000004456,1
1,30.0,483.6089999998876,1
1,15.0,566.8075000003228,0
1,-90.0,704.0458000001308,0
1,-90.0,495.9884999998394,0
1,-90.0,665.9878999998909,0
1,-75.0,641.4365000000544,0
1,15.0,621.9556000014563,0
1,60.0,851.257500000429,1
1,75.0,621.232699999382,1
1,-30.0,537.9135000002861,0
1,90.0,803.2082999998238,1
1,0.0,479.2969999998604,1
1,75.0,451.77659999899333,1
1,75.0,547.9568000009749,0
1,60.0,543.8422999995964,1
1,-45.0,477.7935999991314,1
1,-15.0,502.4498000002495,1
1,90.0,530.451799999355,1
1,-45.0,539.0982999997505,0
1,75.0,603.8728000003175,1
1,-15.0,487.6836000003095,1
1,-45.0,524.3614999999409,1
1,45.0,551.6760999998951,1
1,-75.0,589.681000001292,1
1,60.0,748.3349999984057,0
1,-45.0,576.3272000003781,0
1,30.0,546.6280000000552,1
1,45.0,493.2788999994955,1
1,45.0,543.3343000004243,0
1,-60.0,667.2301999988122,0
1,-90.0,606.6176000003907,0
1,-30.0,640.8265999998548,1
1,-15.0,558.5441000002902,1
1,15.0,555.8280000004743,1
1,45.0,563.9607000011893,0
1,-90.0,575.8086999994703,1
1,75.0,594.3143000004056,0
1,75.0,616.24540000048,0
1,-75.0,582.2753000011289,1
1,90.0,694.9244000006729,1
1,90.0,718.8212999990355,1
1,-60.0,587.5635000011243,0
1,-60.0,618.7995000000228,0
1,45.0,556.1917999984871,0
1,75.0,664.8855000003095,1
1,45.0,552.1501999992324,0
1,15.0,822.1093000011024,0
1,-45.0,627.4460999993607,1
1,-45.0,486.245099998996,1
1,-75.0,638.7013000003208,1
1,15.0,672.8386000013415,1
1,75.0,857.2530000001279,1
1,90.0,526.4452999999776,1
0,0.0,761.0736000006,0
1,60.0,554.7366000009788,1
1,-45.0,804.989199999909,0
1,-30.0,481.0190000007424,0
1,90.0,670.538000000306,1
1,-30.0,523.713200000202,1
1,75.0,830.2974000016548,1
1,75.0,485.09809999995923,1
1,-75.0,745.5967999994755,1
1,15.0,519.5670000011887,1
1,-45.0,652.2262999988016,0
1,90.0,942.2548999991704,0
1,-45.0,576.8843999994715,1
1,-30.0,669.2325999993045,1
1,0.0,554.8242000004393,1
1,0.0,468.8115999997535,1
1,60.0,510.08529999853636,1
1,30.0,529.457700000421,1
1,-90.0,621.424199998728,0
1,75.0,697.4463999995351,1
1,-15.0,637.3851999996987,0
1,-60.0,661.3804999997228,0
1,-75.0,586.6915000005974,0
1,-30.0,696.0570000010193,1
1,30.0,665.6877000004897,0
1,-90.0,783.6736000008386,1
1,-45.0,532.3535999996238,1
1,90.0,678.9695000006759,0
1,45.0,600.2920999999333,1
1,-15.0,660.0523999986763,0
1,30.0,638.9280999992479,0
1,60.0,733.5533000004943,0
1,-60.0,708.8889999995445,1
1,-30.0,575.9030999997776,1
1,0.0,752.9881999998906,0
1,-45.0,531.4849999995204,1
1,-15.0,534.1301999997086,1
1,-75.0,640.8150000006572,1
0,-90.0,555.4720000000088,0
1,30.0,566.1122000001342,1
1,-75.0,531.3733000002685,1
1,60.0,570.1078000001871,0
1,60.0,524.2218999992474,1
1,30.0,590.6780999994226,1
0,0.0,882.8852999995433,0
1,60.0,692.5768000000971,0
1,-15.0,681.3978999998653,1
1,-90.0,886.1268000000564,0
1,30.0,634.6017999985634,0
1,-90.0,585.277700000006,0
1,75.0,618.6385999990307,1
1,45.0,521.9359999991866,1
1,-75.0,513.2295999992493,1
1,45.0,604.528300000311,1
1,0.0,504.5702000006713,1
1,-90.0,777.870999998413,0
1,0.0,654.5170999997936,0
