Correct Response,Rotation (deg),Reaction Time (ms),Target
1,0.0,437.17929999911576,1
1,-45.0,416.63619999962975,0
1,15.0,484.4420999997965,0
1,90.0,557.9758999992919,1
1,90.0,662.4353000006522,1
1,60.0,537.0815000005678,0
1,15.0,544.3784999988566,1
1,-90.0,687.7279000000271,1
1,15.0,569.7280999993382,0
1,-60.0,608.386400001109,1
1,30.0,525.8419000001595,0
1,90.0,741.9200999993336,0
1,75.0,701.6356000003725,1
1,-90.0,535.6816000003164,1
1,15.0,535.6996999998955,1
1,-15.0,592.3641999997926,1
1,75.0,622.2627999995893,1
1,75.0,522.9110000000219,0
1,-90.0,554.2521000006673,1
1,-75.0,577.5662999985798,0
1,-15.0,487.6757000001817,1
1,0.0,457.5296000002709,1
1,-15.0,429.0152000012313,0
1,0.0,552.8126999997767,0
1,-90.0,464.8023000008834,1
1,45.0,475.4816999993636,1
1,-90.0,398.13089999915974,1
1,-15.0,506.7629000004672,1
1,75.0,612.1024000003672,1
1,45.0,601.4806999992288,1
1,15.0,590.064899999561,1
1,45.0,667.3804999991262,1
1,60.0,438.02770000002056,1
1,45.0,561.3586999988911,0
1,15.0,567.2553000003973,0
1,-60.0,622.6721999992151,0
1,30.0,555.3242999994836,1
1,90.0,531.3550000009855,1
1,0.0,563.3519000002707,1
1,60.0,641.9594999988476,0
1,-30.0,629.9329000012222,0
1,-75.0,633.924300000217,1
1,-15.0,541.959100000895,0
1,45.0,517.924600000697,1
1,0.0,501.8457000005583,1
1,60.0,679.2123999985051,1
1,-45.0,641.8721999998525,1
1,-90.0,645.4226000005292,0
1,60.0,657.275400000799,1
1,-90.0,731.8568000009691,1
1,-90.0,445.63899999957357,1
1,-15.0,520.9560000002966,1
1,-90.0,632.9291999991256,0
1,-60.0,612.2453000007226,0
1,0.0,481.58409999996366,0
1,60.0,561.0194999990199,0
1,-75.0,616.9683000007353,1
1,60.0,605.5761999996321,1
1,-45.0,554.86270000074,1
1,-30.0,593.5582000001887,0
1,-15.0,526.2299000005441,0
1,0.0,502.8158999994048,0
1,90.0,632.140800000343,0
1,0.0,467.42730000005395,0
1,30.0,582.1395999992092,1
1,-90.0,540.7498000004125,1
1,15.0,516.0613999996713,1
1,-45.0,596.7701999998098,1
1,75.0,569.388699999763,0
1,-60.0,616.0278000006656,1
1,45.0,580.7072999996308,1
1,60.0,586.0603000000992,1
1,45.0,623.3458000006067,0
1,75.0,483.3356000017375,0
1,-30.0,533.2980000002863,0
1,0.0,621.3254999984201,1
1,30.0,561.2830000009126,0
1,-15.0,487.99610000060056,0
1,30.0,521.9035999998596,0
1,-45.0,642.6038000008703,1
1,-45.0,535.2266999998392,1
1,-45.0,655.2580000006856,0
1,15.0,601.2248999995791,1
1,0.0,502.4925000016083,0
1,90.0,551.8620000002556,1
1,75.0,487.86589999872376,1
1,75.0,656.5583999999944,0
1,45.0,548.5410999990563,0
1,15.0,547.8028000015911,1
1,-45.0,579.1153999998642,1
1,-15.0,577.2809999998572,1
1,-15.0,560.4552000004333,1
1,-15.0,519.8199000005843,0
1,-30.0,503.07120000070427,1
1,15.0,488.4141999991698,1
1,0.0,481.7445000007865,1
1,-45.0,547.0454999995127,1
1,90.0,707.014600000548,1
1,45.0,547.0430000004853,0
1,-75.0,650.3290000000561,0
1,-60.0,589.0010999992228,1
1,0.0,484.9101999989216,1
1,0.0,374.79200000052515,1
1,-15.0,532.7928999995493,1
1,-75.0,628.1032999995659,0
1,15.0,544.0939000000071,1
1,90.0,583.4728999998333,0
1,30.0,574.055999999473,1
1,-45.0,588.7055999992299,0
1,15.0,602.7742999995098,0
1,-75.0,575.3471999996691,0
1,90.0,774.0197000002809,1
1,90.0,629.2987999986508,1
1,90.0,690.648699999656,1
1,75.0,765.2522000007593,1
1,75.0,579.2939000002661,0
1,0.0,529.3179000000237,1
1,60.0,586.0965000010765,0
1,0.0,511.2344999997731,0
1,-75.0,687.9288000000088,0
1,90.0,689.193800000794,0
1,75.0,802.5305999999546,1
1,-75.0,599.2019000004802,0
0,-30.0,524.5228999992833,0
1,-90.0,692.4849000006361,0
1,-30.0,525.8701999991899,1
1,-75.0,550.4410000012285,0
1,-15.0,533.1368999995902,1
1,15.0,501.1601999995037,1
1,30.0,494.61499999961234,1
1,-30.0,409.1095999992831,1
1,0.0,461.77150000039546,1
1,45.0,521.0430000006454,1
1,75.0,529.0234999993118,0
1,60.0,601.7004999994242,1
1,90.0,774.3311000012909,0
1,75.0,596.9908999995823,1
1,15.0,585.6342999995832,0
1,15.0,544.3133000007947,0
1,-30.0,663.6089000003267,0
1,0.0,537.6675000006799,1
1,45.0,617.5616000000446,0
1,-90.0,582.2993000001588,1
1,45.0,684.2004999998608,1
1,30.0,566.2690999997722,1
1,-60.0,604.3010000012146,1
1,75.0,615.5313999988721,0
1,-90.0,724.1345000002184,0
1,75.0,796.164499999577,0
1,-30.0,586.154800001168,1
1,-30.0,632.8358999999182,1
1,-30.0,525.2798999990773,0
1,0.0,493.285399999877,0
1,-60.0,622.6031000005605,0
1,60.0,547.2479000000021,1
1,45.0,490.53710000043793,1
