Correct Response,Rotation (deg),Reaction Time (ms),Target
1,0.0,554.8905999999079,0
1,60.0,572.5598999999875,0
0,-90.0,831.882700000051,1
1,-120.0,678.467400000045,1
1,-150.0,535.1443000001836,1
1,-60.0,654.8087000001033,0
1,120.0,673.0526999999711,0
1,-30.0,563.1502000001092,1
1,60.0,544.5160000001579,1
1,-60.0,526.7876000000342,0
1,-120.0,618.742500000053,0
1,-30.0,546.4305000000422,0
1,-30.0,630.0263999999061,1
1,180.0,664.3839999999273,1
1,60.0,567.0192000000043,0
1,-90.0,642.2754000000168,1
1,-150.0,624.2795000000569,1
1,-30.0,539.5639999999275,1
1,60.0,545.957099999896,0
1,180.0,589.9454999998852,1
1,180.0,623.5431999998582,0
1,-120.0,603.9840000000822,0
1,180.0,742.0244999998431,1
1,-90.0,564.1892999999527,1
1,180.0,649.4582999998784,1
1,90.0,631.4377999999579,1
1,90.0,626.4582000001155,1
1,-90.0,501.0776999999962,1
1,-30.0,505.15679999989516,1
1,60.0,561.7273999998815,0
1,-150.0,579.4628000001012,0
1,-60.0,741.4201999999932,1
1,0.0,556.4236000000164,0
1,120.0,699.6619999999893,1
1,-90.0,600.4040000000259,0
1,-150.0,722.04899999997,1
1,-90.0,610.3972999999314,1
1,30.0,607.6384999998936,1
1,-30.0,466.9549000000188,1
1,-120.0,628.9589999998952,0
1,180.0,627.5411000001441,0
1,0.0,674.2181999998138,0
1,-90.0,647.8747999999541,0
1,-150.0,607.2705999999926,1
1,-150.0,575.9079000001748,0
1,60.0,685.0592999999208,0
1,0.0,506.83120000007875,0
1,0.0,516.1284999999225,0
1,-60.0,625.214600000163,1
1,0.0,532.0844000000307,1
1,30.0,471.38109999991684,0
1,150.0,780.8927000000949,1
1,120.0,609.9000000003798,1
1,0.0,553.1811000000744,1
1,-30.0,541.2304000001313,0
1,90.0,753.2194999998865,0
1,-120.0,685.193899999831,1
1,-60.0,607.7954999996109,0
1,30.0,623.1579000000238,0
0,30.0,832.4400999999853,1
1,-90.0,589.0890000000581,0
0,90.0,923.7570000000233,0
1,60.0,613.061099999868,1
0,-150.0,598.4883000000991,0
1,0.0,544.4385000000693,0
1,-60.0,757.0324000002984,0
1,-120.0,722.4961000001713,0
1,-30.0,717.6759000003585,0
1,30.0,799.0574000000379,1
1,180.0,762.9880999998022,1
1,120.0,742.4551000003703,0
1,120.0,730.3576999997858,1
0,120.0,806.8940999996812,0
1,60.0,624.9112000000423,1
1,90.0,759.5177000002877,1
1,90.0,562.8446000000622,0
1,120.0,662.1840000002521,1
1,0.0,615.6032999997478,1
1,150.0,595.9714999999051,1
1,150.0,592.2965999998269,1
0,150.0,680.4658000000927,0
1,150.0,799.1425999998683,1
1,60.0,641.1906000003,0
1,-90.0,637.0741999999154,1
1,90.0,673.7530000000334,0
1,150.0,841.0401000001002,0
1,60.0,759.0518000001794,0
1,0.0,654.3747999999141,0
1,30.0,986.4096000001155,1
1,30.0,699.0098999999645,1
1,150.0,848.9822000001368,0
1,90.0,921.0262999999941,1
1,-30.0,656.3445000001593,1
1,-150.0,741.9666000000689,1
1,180.0,607.5549999995928,1
1,-90.0,600.9346000000733,0
1,-120.0,696.9602999997733,0
1,0.0,686.8283999997402,0
1,180.0,617.5436000003174,0
1,-120.0,724.832399999741,0
1,0.0,523.5290000000532,0
1,-30.0,502.1191999999246,0
1,150.0,872.2755999997389,0
1,90.0,579.4630000000325,0
1,150.0,838.7622000000192,0
1,120.0,590.7563000000664,0
1,60.0,872.1292999998695,1
0,-60.0,485.7123000001593,0
1,30.0,574.7432000002846,1
1,-90.0,875.40829999989,1
1,120.0,656.7948000001707,0
1,90.0,680.1545999996961,0
1,-60.0,625.1020999998218,1
1,-60.0,657.4517999997624,0
1,30.0,674.6615000001839,0
1,120.0,633.0891999996311,0
1,-150.0,871.9415999999001,0
1,-150.0,757.680100000016,1
1,-150.0,612.6504999997451,0
1,-60.0,851.6697999998541,0
1,0.0,793.9549000002444,0
1,-120.0,729.9600999999711,0
1,90.0,853.2328999999663,1
1,150.0,863.2141999996747,0
1,180.0,780.5281999999352,0
1,120.0,677.2141000001284,0
1,120.0,738.614399999733,1
1,60.0,693.8190999999279,0
1,150.0,798.1110999999146,1
1,0.0,575.0831999998809,0
1,-120.0,614.2211000001225,0
1,0.0,877.5474000003669,1
1,-150.0,607.4532000002364,1
1,0.0,576.0972000002766,0
1,30.0,797.425100000055,1
1,-30.0,601.3745999998719,1
1,30.0,594.6834000001218,0
1,-60.0,838.6840999996821,0
0,30.0,781.9751000001816,1
1,-90.0,594.4448999998713,1
1,90.0,554.6179000002667,1
1,180.0,728.7058000001707,1
1,150.0,579.3061999997917,1
1,-60.0,619.9357999998938,1
1,-120.0,745.3147999999601,0
1,0.0,711.5598000000318,0
1,180.0,703.2325000000128,1
1,-120.0,703.1569000000673,1
1,-30.0,651.2040000002344,0
1,0.0,645.828000000165,1
1,-90.0,663.6462999999821,0
1,30.0,709.7850999998627,1
1,90.0,653.1617999999071,1
1,-150.0,668.4460999999828,0
1,120.0,765.798100000211,0
1,150.0,767.0700000003308,0
1,-60.0,640.387500000088,0
1,30.0,663.7494999999944,1
