Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-7.5,870.6824000000779,0
1,22.5,707.5234000003547,0
0,-52.5,885.9839000001557,0
1,-60.0,794.8298999999679,0
1,-45.0,833.9015000001382,1
1,-15.0,679.9206000000595,0
1,30.0,695.4396999999517,0
1,-37.5,647.3032000003514,1
1,7.5,472.72219999968,0
1,22.5,749.7888000002604,1
1,-37.5,679.3972999998914,0
1,7.5,588.2689999998547,0
1,-45.0,745.3252000000248,1
1,7.5,619.1616000000977,1
1,-52.5,765.2468999999655,1
1,-22.5,606.4566999998533,1
1,-7.5,633.7734999997338,1
1,-22.5,611.7811999997684,0
1,-45.0,977.7628000001641,0
1,-22.5,655.0019999999677,1
1,-52.5,837.3305999998593,1
0,45.0,760.0130000000718,1
0,60.0,917.3359999999775,1
1,-60.0,899.7416000001976,0
1,52.5,758.4633999999824,0
1,-30.0,647.8258999995887,1
1,22.5,745.5813999999918,0
1,-45.0,791.5830000001733,0
1,0.0,506.8310999999994,0
0,30.0,946.6011999998045,1
0,-60.0,1336.6391999998086,0
1,-30.0,706.582299999809,0
1,45.0,661.9367000002967,0
1,52.5,746.5964999996686,0
1,0.0,576.5251000002536,1
1,-37.5,605.8109999999033,0
1,45.0,806.0234999998102,1
1,22.5,573.346500000298,0
1,-30.0,733.1186999999773,0
1,-52.5,719.7865000002821,1
1,-60.0,735.3032999999414,1
1,52.5,573.0903999997281,0
0,15.0,895.3259999998409,1
1,60.0,641.7111999999179,0
1,-7.5,655.0268999999389,0
1,30.0,683.763099999851,0
0,52.5,1087.2755000000325,1
1,-37.5,838.7311000001318,0
1,-7.5,664.9534999996831,0
1,22.5,598.2283000003008,0
1,60.0,1058.2581000003302,1
1,60.0,1057.1120000004157,1
1,-7.5,738.928599999781,1
1,52.5,669.0317000002324,0
1,-15.0,673.6692999998013,1
1,-7.5,566.8316000001141,0
1,-45.0,736.863699999958,1
0,52.5,762.9417999996804,1
1,7.5,799.3851999999606,0
0,-60.0,1166.355399999702,1
1,-15.0,643.0226000002222,0
1,45.0,820.3163999996832,0
1,22.5,795.0086000000738,1
1,0.0,759.1910999999527,0
1,-22.5,839.6434999995108,1
1,-45.0,745.62909999986,0
1,0.0,643.5684000007313,1
1,22.5,812.8466999996817,1
0,-52.5,892.2618999995393,1
1,-45.0,871.5833000005659,1
1,0.0,708.8389999998981,1
0,52.5,880.2003000000695,1
1,30.0,688.165200000185,1
1,45.0,956.1286000007385,1
1,-30.0,757.611399999405,0
0,30.0,838.1315999995422,0
1,-15.0,584.7819000000527,0
1,7.5,580.9515000000829,1
1,-15.0,668.7736000003497,1
1,37.5,793.3882000006633,1
1,-22.5,620.7657999993899,0
1,15.0,611.3698999997723,1
1,37.5,614.6614999997837,1
1,15.0,560.8439000006911,0
1,-30.0,861.3945999995849,1
1,37.5,685.9649999996691,0
1,30.0,670.0313999999707,0
1,7.5,465.8417999999074,1
1,15.0,502.2482000003947,0
1,-37.5,653.6421000000701,1
1,-37.5,644.4517999998425,1
1,7.5,534.2892999997275,1
1,37.5,500.92899999981455,1
0,15.0,499.58890000016254,0
1,-7.5,582.8456999997798,0
1,37.5,1251.7430999996577,1
1,-37.5,685.6963999998698,0
1,-15.0,694.0916000003199,1
1,-52.5,822.5160000001779,1
1,-30.0,889.5958000002793,1
1,52.5,942.3225000000457,0
1,-22.5,884.2455000003611,1
0,37.5,1248.4723999996277,1
1,60.0,1281.405700000505,1
1,-52.5,1053.3722000000125,0
0,45.0,780.7133999995131,0
1,-7.5,757.001400000263,1
1,-22.5,674.7892999992473,0
1,-30.0,833.5766999998668,0
1,-60.0,1560.6355999998414,1
1,-37.5,698.1954000002588,0
0,60.0,1053.192499999568,1
1,60.0,764.0889000003881,1
1,-7.5,709.1978000007657,1
1,-30.0,587.1768999995766,0
1,45.0,727.1543000006204,0
1,52.5,715.7403000001068,0
1,-37.5,886.2931999992725,1
1,-45.0,734.0754999995625,1
1,-60.0,892.1747000003961,1
1,-30.0,551.3515000002371,1
1,37.5,876.6627999993943,1
1,15.0,552.1299000001818,0
1,45.0,684.8233999999138,0
1,37.5,733.5675000003903,1
1,30.0,591.2910999995802,0
1,30.0,652.1355000004405,0
1,15.0,596.5464999999313,0
1,22.5,599.8678000005384,0
1,-22.5,675.8786999998847,0
1,60.0,848.6946000002717,1
1,-15.0,738.0679000007149,0
1,-45.0,840.7077000001664,1
1,7.5,581.9845999994868,0
1,-60.0,765.7896000000619,0
1,7.5,797.7907000004052,1
1,-22.5,992.4176000004081,1
1,30.0,607.8757000004771,0
1,-15.0,650.6221999998161,0
1,37.5,704.5798999997714,1
1,-52.5,843.8901999998052,0
1,60.0,847.6436000000831,0
1,-15.0,665.4278000005434,0
1,-60.0,842.043200000262,0
1,0.0,528.0750000001717,0
1,15.0,702.0084999994651,1
1,0.0,546.2167000005138,0
1,-52.5,747.3268000003372,1
1,22.5,715.9690000007686,1
1,0.0,487.3256000000765,1
1,15.0,547.4108999997043,0
1,0.0,545.4979000005551,1
1,45.0,747.2644000008586,0
1,-52.5,861.44510000031,0
1,45.0,1054.7321999993073,1
1,60.0,760.7578999995894,1
1,30.0,821.34219999989,1
1,-60.0,864.4733000000997,1
1,15.0,601.1216000006243,1
1,52.5,912.4814000006154,1
1,52.5,651.3061999994534,0
1,-60.0,809.9233000002641,1
1,-52.5,945.0863000001846,1
1,52.5,842.4025000003894,1
1,30.0,1000.3988999997091,0
1,15.0,708.3518000008553,1
1,37.5,670.0787999998283,1
1,45.0,923.6578999998528,1
1,60.0,770.5757000003359,1
