Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-45.0,1458.9146999933291,0
1,30.0,559.9956999940332,0
1,-15.0,526.1204999987967,0
1,15.0,901.9669000117574,1
1,-30.0,755.751999997301,0
1,15.0,735.1610999903642,1
1,-45.0,726.8272000073921,0
1,15.0,745.3481999982614,1
1,15.0,617.822599975625,1
1,30.0,1224.4820999912918,1
1,-15.0,1798.8821000035387,1
1,-15.0,636.2161999859381,0
1,15.0,1081.8138000031468,1
1,45.0,726.8484999949578,1
1,30.0,754.2967000044882,1
1,0.0,586.3479000108782,0
1,30.0,3523.993699986022,1
1,0.0,622.4053000041749,0
1,-30.0,786.6336999868508,0
1,-15.0,740.9820999891963,1
1,30.0,655.6138999876566,0
1,-15.0,620.1409000204876,1
1,-45.0,583.923899976071,1
1,15.0,530.8334000001196,0
1,-45.0,750.6297999934759,1
1,-45.0,1665.1715000043623,0
1,45.0,542.4771999823861,0
1,-15.0,529.4747000152711,0
1,45.0,1250.467000005301,0
1,45.0,647.8946999995969,1
1,-45.0,838.6275000229944,0
1,-45.0,695.8433999971021,1
1,-30.0,608.4703000087757,0
1,15.0,655.4232999915257,1
1,45.0,1438.7732000031974,1
1,30.0,612.5277999963146,0
1,-15.0,658.9114000089467,1
1,-45.0,952.877300005639,1
1,30.0,532.1817999938503,0
1,0.0,820.9600000118371,1
1,0.0,597.7260999788996,1
1,15.0,538.5149999929126,0
1,-30.0,535.7654000108596,0
1,-30.0,574.7612999984995,0
1,-45.0,519.3225000111852,0
1,-15.0,613.6267999827396,0
1,0.0,786.5557000041008,1
1,45.0,684.5566000265535,1
1,15.0,589.1567000071518,1
1,45.0,1960.9015999885742,0
1,-15.0,1426.3418999908026,0
1,0.0,740.077199996449,0
1,-45.0,1884.656600013841,1
1,0.0,1144.2728000110947,1
1,15.0,609.7761999990325,0
1,-15.0,507.08430001395755,0
1,0.0,729.2637000209652,0
1,0.0,475.3294999827631,0
1,-30.0,990.1245000073686,1
1,0.0,1121.9664000091143,1
1,-15.0,599.2659000039566,1
1,-15.0,724.8549000069033,1
1,45.0,2163.635900011286,1
1,0.0,730.0051000202075,0
1,-30.0,2056.528899993282,1
1,30.0,1096.296900010202,1
1,0.0,807.0944999926724,1
1,45.0,1083.846599998651,1
1,30.0,1042.6530000113416,1
1,45.0,2421.69560000184,0
1,-15.0,1543.853900016984,1
1,-30.0,2562.132700026268,0
1,-30.0,787.3671999841463,1
1,30.0,602.9244000092149,0
1,-45.0,1017.7582000032999,0
1,-15.0,1158.495399984531,1
1,45.0,765.1212999771815,0
1,0.0,546.2072000082117,0
1,45.0,766.7242999887094,0
1,30.0,567.479799996363,0
1,-15.0,1635.4240000073332,1
1,-30.0,1105.024999997113,1
1,0.0,515.4825999925379,0
1,-45.0,860.1122000254691,1
1,15.0,896.3917000219226,1
1,45.0,764.8859999899287,1
1,45.0,754.3260999955237,0
1,15.0,641.7211999942083,0
1,-30.0,660.5600999901071,1
1,-15.0,487.64089998439886,0
1,-30.0,747.4436000047717,1
1,45.0,854.5639000076335,1
1,15.0,609.2797000019345,0
1,-45.0,906.4804000081494,1
1,-30.0,786.2544999807142,1
1,-45.0,721.0930000001099,0
1,30.0,993.202299985569,1
1,-15.0,655.2721000043675,0
1,0.0,621.1186999862548,0
0,0.0,398.3728000021074,1
1,-45.0,765.8845000260044,0
1,-30.0,965.85559999221,1
1,15.0,719.7760000126436,1
1,-45.0,733.2569999853149,0
1,30.0,1048.6618999857455,1
1,-45.0,647.4042999907397,1
1,-30.0,701.7609000031371,0
1,-45.0,863.9430000039283,1
1,0.0,763.4648999955971,1
1,-15.0,530.7128000131343,0
1,45.0,2188.9637999993283,1
1,45.0,895.4217999998946,1
1,15.0,576.5895000076853,1
1,-15.0,802.0338999922387,0
1,-30.0,601.0521999851335,0
1,45.0,1042.6585999957751,1
1,-30.0,594.4850999803748,1
1,30.0,1195.4533999960404,1
1,-30.0,670.8390999992844,0
1,-45.0,625.3114999854006,1
1,15.0,611.2071000097785,1
1,0.0,518.6637000006158,0
1,30.0,729.391199973179,1
1,30.0,681.2404000083916,1
0,15.0,612.4910000071395,1
1,-15.0,595.5657000013161,0
1,30.0,629.9902000173461,1
1,45.0,779.6209999942221,1
1,45.0,484.0947999909986,1
1,-30.0,597.336600010749,0
1,15.0,595.9069000091404,1
1,30.0,568.8443999970332,1
1,30.0,531.811499997275,0
1,-30.0,619.0708000212908,1
1,15.0,577.7250000101048,1
1,-45.0,680.9462000092026,1
1,-15.0,600.3606999875046,0
1,0.0,575.3221999912057,1
1,15.0,517.8207000135444,0
1,45.0,1244.6153000055347,0
1,0.0,744.2689999879804,1
1,30.0,637.19820001279,1
1,0.0,509.9334000260569,1
1,0.0,632.2744000062812,0
1,0.0,530.9167999948841,1
1,15.0,595.0775000092108,0
1,-30.0,652.1875000034925,1
1,30.0,2460.7462999993004,1
1,0.0,1057.8647999791428,0
1,-45.0,664.1142999869771,1
1,0.0,1077.1073000214528,0
1,15.0,1848.79990000627,0
