Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-90.0,880.102999999508,0
1,15.0,674.4663999998011,0
1,-90.0,622.5394000030064,0
1,-60.0,637.9724999969767,0
1,15.0,452.6708999983384,0
1,75.0,560.7230000023264,0
1,-75.0,491.52669999966747,0
1,-45.0,1077.6702000002842,1
1,0.0,598.1928000001062,0
1,-75.0,546.0691999978735,0
1,0.0,785.6350000001839,1
1,45.0,531.8415999972785,0
1,75.0,673.7885999973514,1
1,60.0,615.9460000017134,1
1,15.0,627.8980999995838,1
1,90.0,611.9595000018307,0
1,15.0,577.5785999976506,0
1,-15.0,663.0130000012286,1
1,-75.0,623.9716999989469,0
1,-75.0,534.2074999971373,0
1,75.0,609.7207999991952,0
1,-90.0,576.8729000010353,0
1,90.0,895.3695999989577,0
1,-15.0,518.4651999989001,1
1,-90.0,846.5514999988955,1
1,15.0,969.7383999991871,1
1,-30.0,486.4744000005885,1
1,60.0,1031.5601000002061,1
1,-30.0,703.2188000011956,1
1,60.0,964.6597999999358,0
1,45.0,858.913100000791,1
1,60.0,576.4337000000523,0
1,75.0,632.7301999990596,0
1,90.0,599.4886000007682,0
1,-90.0,777.9487999978301,1
1,15.0,738.5345000002417,1
1,90.0,730.3705000012997,1
1,30.0,598.7851999998384,1
1,-45.0,510.8762000018032,0
1,60.0,518.1900999996287,0
1,30.0,499.4662999997672,0
1,15.0,515.8713000018906,0
1,-75.0,854.1995999985375,0
1,0.0,628.7042000003566,0
1,-75.0,612.8640999995696,1
1,90.0,513.9887999976054,1
1,75.0,549.2239999985031,1
1,-60.0,612.2748000016145,0
1,75.0,480.16569999890635,1
1,-15.0,629.5275000011316,0
1,60.0,672.378999999637,1
1,30.0,569.0431000002718,0
1,-45.0,701.2369999974908,1
0,-75.0,599.1953999982798,0
1,30.0,643.5168999996677,1
1,0.0,612.4518000033277,0
1,90.0,682.7667000034126,0
1,0.0,637.2663999973156,0
1,-15.0,584.0734999983397,1
1,45.0,948.4537999996974,1
1,-75.0,947.3981999981334,0
1,15.0,557.3035000015807,0
1,45.0,671.1002000010922,0
1,-30.0,691.2192999989202,0
1,-30.0,640.9203999974125,0
1,0.0,728.0655999966257,1
1,-45.0,711.6272999992361,1
1,0.0,586.0192000000097,1
1,-60.0,540.9021000014036,1
1,30.0,520.5306999996537,1
1,60.0,688.8188000011723,0
1,-45.0,715.0163000005705,0
1,45.0,699.3011000013212,1
1,-15.0,505.57360000311746,0
1,-90.0,1257.7865999992355,1
1,75.0,538.4498000021267,0
1,-75.0,530.04719999808,1
1,75.0,495.58320000141975,1
1,-60.0,621.4351000016904,0
1,30.0,663.3414999996603,0
0,-30.0,676.3118999988365,1
1,60.0,705.5989000000409,0
1,-15.0,695.0813999974343,1
1,-30.0,733.0266999997548,1
1,-90.0,601.4931999998225,0
1,-30.0,569.6946999996726,0
1,-15.0,532.2836000013922,0
1,45.0,596.902899997076,1
1,75.0,812.5961000005191,1
1,90.0,1132.774599998811,0
1,-45.0,528.6538000000292,0
1,-60.0,706.5068000010797,1
1,-60.0,833.9383999991696,1
1,30.0,995.3778000017337,1
1,90.0,507.92269999874406,1
1,-45.0,1060.595499999181,0
1,45.0,943.718099999387,0
1,60.0,587.1073999987857,1
0,-60.0,638.3440999998129,1
1,0.0,507.426399999531,1
1,30.0,584.3320999993011,1
1,75.0,499.681999997847,1
1,-45.0,818.0926999993972,0
1,60.0,1274.6746000011626,0
1,-90.0,595.0375000029453,0
1,0.0,532.6967999972112,1
1,-30.0,521.9787999994878,1
1,90.0,752.4403999996139,0
1,60.0,928.110500000912,1
1,-45.0,714.6503999974811,1
1,-60.0,607.6269000004686,1
1,-30.0,716.1592000011296,0
1,-60.0,721.1433000011311,0
1,-30.0,721.7111999998451,0
1,0.0,772.2257000023092,0
1,0.0,518.9623000005668,0
1,-60.0,523.7267000011343,0
1,15.0,551.0902000023634,0
1,-15.0,832.2032000032777,1
1,90.0,796.0347000007459,0
1,75.0,645.149500000116,1
1,30.0,820.7621999972616,0
1,-90.0,693.980099997134,0
1,75.0,606.4762999994855,1
1,-15.0,560.3217999996559,0
1,-90.0,649.0659000010055,1
1,-90.0,607.3347000019567,1
1,-60.0,524.950600000011,1
1,90.0,771.8373000025167,1
1,30.0,783.5951999986719,1
1,45.0,838.6984000026132,0
1,0.0,642.8380999968795,0
1,60.0,617.5746000008075,1
1,15.0,591.2977000007231,1
1,-30.0,488.2514999990235,0
1,15.0,571.9281999990926,1
1,90.0,605.3560000000289,0
1,30.0,707.9981000024418,1
1,-15.0,924.2754999977478,1
1,45.0,589.4073999988905,0
1,15.0,699.1882000002079,1
1,-30.0,662.8238000012061,1
1,-15.0,775.0859999978275,0
1,-75.0,728.0205999995815,0
1,-45.0,622.4562999996124,1
1,-15.0,571.0227000017767,1
1,-90.0,689.8747000013827,1
1,-45.0,783.0351999982668,0
1,-75.0,610.0041999998211,1
1,45.0,677.0909999977448,0
1,-45.0,717.7163999986078,1
1,45.0,608.1883000006201,1
1,30.0,656.2263999985589,1
1,45.0,645.7028000004357,1
1,-60.0,657.3266000013973,1
1,-75.0,596.3925000032759,0
1,-75.0,900.6251999999222,0
1,-30.0,699.9777999990329,0
1,-60.0,625.4551999991236,0
