Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-30.0,1017.7173999836668,1
1,75.0,629.3464000045788,0
1,15.0,1032.7214999997523,1
1,15.0,1030.1287999900524,0
1,-45.0,608.2467999949586,1
1,0.0,525.5488000111654,1
1,-15.0,630.0314999825787,1
1,-75.0,706.0157999803778,1
1,-30.0,777.9547999962233,1
1,90.0,855.2387999952771,0
1,30.0,609.147099981783,0
1,-90.0,665.5833999975584,1
1,75.0,894.2125999892596,0
1,-30.0,1242.3321999958716,0
1,45.0,648.6918000155129,0
1,-45.0,815.2525999757927,0
1,60.0,860.7816000003368,0
1,-75.0,1112.8939000191167,0
1,60.0,656.7674999823794,1
1,60.0,1000.4518000059761,1
1,-60.0,1088.3985000255052,0
1,0.0,475.6242999865208,0
1,90.0,565.1223000022583,0
1,90.0,633.9025000052061,1
1,90.0,686.5307000116445,1
1,0.0,697.9737000074238,1
1,0.0,632.3951999947894,0
1,60.0,571.3859000243247,0
1,45.0,637.3384000035003,1
1,75.0,571.196399978362,0
1,0.0,705.452400026843,1
1,0.0,951.3496000145096,1
1,-60.0,541.9695000164211,1
1,0.0,522.5321999751031,0
1,-30.0,1125.2545999886934,0
1,45.0,544.3576000106987,1
1,45.0,668.2150999840815,0
1,-90.0,623.151500010863,1
1,90.0,1011.8202999874484,0
1,-90.0,589.3636999826413,1
1,-30.0,1095.074900018517,1
1,-90.0,1069.7136000089813,1
1,45.0,704.4439999735914,1
1,-75.0,561.1039999930654,1
1,-60.0,691.5116999880411,1
1,30.0,607.470499991905,1
1,-75.0,572.8947999887168,0
1,-90.0,566.7462999990676,0
1,45.0,1020.4168999916874,1
1,-60.0,1291.3038000115193,1
1,60.0,869.9831000121776,0
1,-60.0,902.6568999979645,0
1,-75.0,533.6674000136554,0
1,0.0,515.5020000238437,0
1,-90.0,764.0654999995604,1
1,-15.0,521.3223000173457,0
1,15.0,628.0876000237186,0
1,90.0,641.1138000257779,1
1,75.0,735.1655999955256,0
1,-30.0,599.9298999959137,0
1,15.0,687.8199000202585,1
1,30.0,1041.0475000098813,0
1,30.0,525.8558000205085,0
1,45.0,602.5470999884419,1
1,-90.0,912.0597000000998,1
1,90.0,879.107600019779,0
1,-90.0,657.0962999830954,0
1,75.0,757.8449000138789,1
1,45.0,828.0122999858577,0
1,-45.0,1138.1634999997914,0
1,15.0,876.9748999911826,0
1,30.0,1715.069300000323,1
1,-15.0,623.760599992238,1
1,75.0,701.1665999889374,1
1,90.0,853.9780999999493,0
1,-30.0,1128.5648999910336,0
1,-60.0,1109.6092999796383,1
1,75.0,2098.2759000035003,1
1,0.0,1219.0002000133973,1
1,30.0,918.8477999996394,0
1,-60.0,792.2811999742407,0
1,-60.0,1040.2697999961674,1
1,45.0,1206.0469999851193,0
1,15.0,714.1896999964956,1
1,-60.0,669.7611999989022,1
1,-75.0,555.774799984647,0
1,-75.0,982.6803999894764,0
1,15.0,1407.0938999939244,1
1,60.0,705.0813999958336,1
1,-30.0,612.8082000068389,0
1,-75.0,814.0462999872398,0
1,60.0,657.5860999873839,0
1,0.0,1112.5915999873541,1
1,-15.0,1186.3551000133157,1
1,0.0,741.0645000054501,0
1,-30.0,556.5735000127461,1
1,75.0,957.4228000128642,0
1,60.0,751.6456000157632,0
1,-75.0,757.9618000017945,0
1,-60.0,811.5425999858417,0
1,-15.0,566.2308000028133,1
0,-45.0,587.8316999878734,0
1,60.0,1078.022300003795,0
1,-90.0,995.3477999952156,1
1,0.0,608.0185000027996,0
1,-15.0,1211.2351000250783,1
1,90.0,849.3865999917034,1
1,15.0,954.5439000066835,0
1,-60.0,896.0328999964986,0
1,-45.0,1101.604800001951,1
1,30.0,612.127899978077,0
1,30.0,997.2186000086367,0
1,90.0,1050.35190001945,1
1,60.0,1150.1467000052799,1
1,-75.0,826.4942999812774,1
1,-15.0,1226.4978000021074,1
1,15.0,765.7245000009425,0
1,30.0,991.2221999838948,0
1,60.0,943.6716000200249,0
0,15.0,775.8405999920797,1
1,30.0,604.0772999986075,1
1,-75.0,873.7503000011202,1
1,-45.0,1327.3284000169951,0
1,45.0,1187.7479999966454,0
1,30.0,735.265299997991,0
1,45.0,982.6195000205189,0
1,-15.0,927.7689000009559,1
1,30.0,467.2881000151392,1
1,-30.0,809.8525999812409,0
1,-90.0,547.451499995077,1
1,-45.0,624.4972000131384,0
1,-45.0,766.0086000105366,0
1,-30.0,988.3602999907453,0
1,45.0,749.6144000033382,1
1,-45.0,789.2512000107672,1
1,-15.0,935.0591000111308,0
1,-15.0,588.1459999945946,1
1,-90.0,621.4640999969561,0
1,-45.0,878.2825999951456,0
1,90.0,1078.9571999921463,0
1,60.0,814.5784999942407,1
0,90.0,741.3441000098828,0
1,-15.0,733.8821000012103,1
1,75.0,1275.4528000077698,0
1,75.0,1276.4059999899473,0
1,-45.0,651.6355999920052,0
1,-30.0,579.5095000066794,0
1,15.0,895.426300005056,1
1,-90.0,873.3098999946378,1
1,-60.0,551.7931999929715,1
1,-75.0,961.9285000080708,0
1,75.0,982.7407000120729,0
1,15.0,600.2321999985725,0
1,-45.0,678.7557000061497,1
1,-15.0,558.3190000033937,0
1,75.0,637.8226000233553,0
1,-45.0,621.915199997602,0
1,15.0,1059.5316000108141,1
1,90.0,878.2675999973435,1
