Correct Response,Rotation (deg),Reaction Time (ms),Target
1,45.0,1283.8448000256903,0
1,15.0,750.7983000250533,1
1,30.0,641.2756000063382,1
1,0.0,551.6205999883823,0
1,-45.0,567.1349000185728,0
1,-30.0,433.8374999933876,0
1,15.0,666.8524999986403,1
1,15.0,525.8143999963067,0
1,-45.0,412.95590001391247,0
1,90.0,777.5716999894939,1
1,60.0,670.719200046733,1
1,90.0,636.0240000067279,1
1,-75.0,622.0091999857686,0
1,75.0,598.110800026916,0
1,-90.0,723.4048000536859,1
1,0.0,500.93889998970553,0
1,-45.0,641.6263999999501,1
1,-90.0,647.7738000103272,1
1,-60.0,763.9010999700986,1
1,30.0,595.8817999926396,1
1,-90.0,669.150699977763,0
1,-75.0,766.815300041344,1
1,-15.0,748.3639999991283,0
1,60.0,713.9890000107698,1
1,15.0,804.5085000339895,1
1,75.0,670.4190000309609,1
1,90.0,555.1761999959126,1
1,75.0,456.81990002049133,1
1,15.0,561.0046999645419,1
1,75.0,723.8947000005282,0
1,-75.0,569.7344000218436,1
1,90.0,597.8287999751046,1
1,-60.0,626.0678999824449,0
1,90.0,823.5794000211172,1
1,30.0,564.0951999812387,1
1,30.0,572.3101999610662,1
1,-15.0,591.5345000103116,0
1,60.0,526.394699991215,0
1,-45.0,645.6404000055045,1
1,-15.0,502.760200004559,0
1,-60.0,607.5857999967411,1
1,75.0,670.2025000122376,1
1,-30.0,477.67409996595234,0
1,-60.0,610.7241999707185,0
1,-75.0,573.4907999867573,0
1,-45.0,684.3209000071511,1
1,60.0,882.5412999722175,0
1,-30.0,660.3552000015043,0
1,-60.0,629.1369000100531,0
0,75.0,878.1163999810815,1
1,-60.0,642.4987000063993,0
0,-90.0,1339.2788000055589,1
1,-60.0,1003.2314999843948,1
1,45.0,641.2666999967769,1
1,-30.0,620.8428999525495,0
1,15.0,852.6600999757648,0
1,-15.0,656.0031999833882,0
1,30.0,504.63689997559413,0
1,-90.0,1056.3338999636471,1
1,-90.0,596.3363999617286,0
1,-45.0,673.5867999959737,1
1,-75.0,891.4828999550082,1
1,30.0,580.9626000118442,0
1,-60.0,616.6690000100061,0
1,-15.0,486.291799985338,0
1,45.0,1310.650400002487,0
1,30.0,537.2224999591708,0
1,0.0,735.3362999856472,1
1,-75.0,1180.6556999799795,1
1,90.0,1499.5600000256673,1
1,-45.0,561.4265000331216,0
1,0.0,740.276399999857,1
1,-15.0,470.52490001078695,1
1,15.0,539.0513999736868,0
0,45.0,610.3727999725379,0
1,90.0,1106.671700021252,1
1,-90.0,682.5463999994099,1
1,45.0,575.9756999905221,1
1,30.0,717.1602000016719,0
1,0.0,536.7331000161357,1
1,15.0,595.2348000137135,1
1,45.0,521.1506999912672,0
1,-30.0,494.6942999958992,0
1,45.0,737.0814000023529,0
1,-90.0,574.1353000048548,1
1,60.0,524.6896000462584,0
1,30.0,599.7386999661103,1
1,-30.0,618.7118000234477,0
1,0.0,548.9969000336714,1
1,-30.0,541.9437999953516,0
1,90.0,560.5156000237912,0
1,-75.0,491.4686999982223,0
1,0.0,599.0721000125632,1
1,90.0,465.2414000011049,0
1,90.0,1032.6731000095606,1
1,-75.0,534.0463000466116,0
1,75.0,1021.8607999850065,1
1,90.0,611.27310001757,1
1,-60.0,1024.500600004103,1
1,75.0,538.8966000173241,0
1,75.0,630.8250000001863,1
1,-60.0,465.1924000354484,0
1,-90.0,445.3850999707356,0
1,60.0,826.7117000068538,0
1,-30.0,738.1376000121236,1
1,-15.0,706.8515000282787,0
1,75.0,823.1582000153139,0
0,-90.0,635.2324000326917,1
1,75.0,700.325999991037,0
1,-90.0,990.213799988851,0
1,-15.0,803.2244999776594,1
1,-45.0,1001.182499981951,0
1,15.0,660.3174000047147,0
1,0.0,1152.9427000205033,1
0,-15.0,1085.9144999994896,0
1,-75.0,807.4311000527814,0
1,-45.0,504.6044000191614,0
1,45.0,559.3011999735609,0
1,60.0,746.9570999965072,0
0,45.0,1150.4191000130959,1
1,-60.0,780.9714999748394,0
1,-45.0,1044.1178000182845,1
0,30.0,748.4324999968521,0
0,60.0,992.8694000118412,1
1,-30.0,1956.101400020998,1
1,15.0,713.8266000547446,1
1,0.0,612.6061999821104,1
1,60.0,556.0801000101492,0
1,30.0,688.8621000107378,1
1,-75.0,549.0099000162445,0
1,-60.0,790.2684999862686,0
1,-15.0,465.69379995344207,0
1,60.0,516.9990999856964,0
1,60.0,1102.0450000069104,1
1,-15.0,1100.3506000270136,1
1,60.0,539.4933999632485,0
0,-30.0,857.6147999847308,0
1,-45.0,1018.9198000007309,1
1,-75.0,583.3807999733835,0
