Correct Response,Rotation (deg),Reaction Time (ms),Target
1,150.0,1014.4527999946149,1
1,-30.0,982.8486999904271,1
1,180.0,877.8594999894267,1
1,180.0,1271.1561000032816,1
1,30.0,900.3626999910921,1
1,30.0,669.3194999970729,0
1,-120.0,1211.0334000026342,0
1,0.0,470.9561999916332,1
1,0.0,445.3271000093082,1
1,-120.0,672.1622999903047,0
1,-30.0,543.5016999981599,0
1,150.0,596.5930999955162,1
1,90.0,784.8406999983126,1
1,-120.0,596.1360999936005,1
1,150.0,675.7078000082402,0
1,120.0,774.8424999881536,1
1,-150.0,728.6840000015218,0
1,-60.0,973.85629999917,1
1,30.0,1200.289000000339,1
1,-90.0,877.8703999996651,1
1,-60.0,1092.8224000090268,0
1,120.0,754.5948000042699,0
1,60.0,1154.9127000034787,1
1,0.0,1007.6170999964233,0
1,180.0,983.3800000051269,0
1,150.0,627.49199999962,0
1,120.0,689.0077000134625,0
1,-60.0,699.3616999970982,1
1,0.0,568.0013999954099,0
1,90.0,636.413200001698,1
1,-30.0,712.2241000033682,0
1,-60.0,797.1282000071369,1
1,0.0,1062.2126000089338,1
1,-150.0,985.5274000001373,1
1,150.0,696.7696000065189,0
1,-150.0,802.500499994494,1
1,-150.0,625.0954999995884,0
1,90.0,965.6775000039488,1
1,-30.0,1037.9824999981793,1
1,0.0,542.7250999928219,0
1,120.0,1578.3419000072172,0
1,60.0,467.62770001078025,0
1,150.0,627.3768999963067,0
1,0.0,1249.445100009325,0
1,150.0,722.2552999883192,0
1,-120.0,601.7914000112796,0
1,-150.0,1267.5048999954015,1
1,-150.0,663.1177000090247,1
1,-120.0,816.0171000054106,0
1,30.0,713.7764999934006,1
1,30.0,619.0164999861736,0
1,120.0,841.6668999998365,1
1,150.0,696.101000008639,1
1,-90.0,801.502199989045,1
1,30.0,724.5378000079654,1
1,120.0,704.7023000195622,0
1,-90.0,762.1843999950215,0
1,180.0,1912.960200017551,1
1,60.0,766.8714000028558,0
1,-90.0,761.4121999940835,0
1,150.0,768.6717999749817,0
1,-30.0,905.6444000161719,1
1,120.0,1104.4430000183638,1
1,-90.0,700.6925000168849,0
1,90.0,714.8825000040233,0
1,60.0,749.4750999903772,0
1,60.0,974.9589999846648,1
1,-90.0,888.2808999915142,1
1,150.0,750.9187000105157,0
1,-150.0,1019.0986999950837,0
1,180.0,768.7627999985125,0
0,-150.0,1087.0065000199247,1
1,-120.0,865.3769000084139,0
1,180.0,974.0796999831218,1
1,-90.0,1190.2326000272296,1
1,0.0,762.1236999984831,0
1,-60.0,850.8164999948349,1
1,90.0,1049.4076000177301,0
1,-60.0,1077.271500020288,1
1,120.0,1885.3280000039376,0
1,60.0,834.444700012682,1
1,90.0,720.2202000189573,0
1,0.0,751.9369999936316,1
0,0.0,487.52880000392906,1
1,90.0,797.4314999883063,0
1,90.0,780.0335000210907,0
1,-30.0,849.0755999810062,1
1,120.0,572.1537999925204,0
1,0.0,546.0238000086974,0
1,-120.0,592.2972000262234,0
1,90.0,541.8747000221629,0
1,180.0,556.6894999938086,0
1,-30.0,729.6603000140749,1
1,90.0,560.5436000041664,0
1,0.0,598.7675999931525,0
1,0.0,772.8000000061002,1
1,-60.0,693.5689999954775,0
1,180.0,962.2913000057451,1
1,30.0,845.9000999864656,1
1,180.0,954.148199991323,1
1,-90.0,985.0147000106517,0
1,-90.0,1104.1644999932032,1
1,30.0,632.6593999983743,1
1,-90.0,668.1430999888107,1
1,0.0,793.2910000090487,1
1,-60.0,953.3087000017986,0
1,-30.0,664.6453999856021,1
1,150.0,1147.4932999990415,1
1,-120.0,815.9415000118315,0
1,-120.0,733.234099985566,0
1,0.0,617.2278000158258,0
1,150.0,707.2999999800231,1
1,30.0,1368.571700004395,0
1,-90.0,1035.3549999999814,0
1,90.0,873.903200001223,1
1,-60.0,840.7729000027757,1
1,-30.0,888.748500001384,0
1,180.0,810.065699974075,0
1,-30.0,1117.098899994744,1
1,-120.0,1079.275800002506,0
1,-60.0,1646.5408999938518,1
1,-150.0,1242.5714999844786,0
1,-150.0,1166.2912000028882,1
1,60.0,791.482000000542,1
1,60.0,1229.8256999929436,0
1,90.0,904.6193999820389,1
1,60.0,1097.2161999961827,0
1,30.0,677.3325999965891,0
1,0.0,589.2334999807645,1
1,-90.0,566.0917999921367,1
1,60.0,620.9784999955446,1
1,120.0,636.5470000018831,1
1,60.0,579.9115000118036,1
1,-120.0,868.45949999406,1
1,-150.0,717.6653000060469,0
1,120.0,866.9519000104629,0
1,120.0,1106.1022999929264,1
1,180.0,594.3071999936365,0
1,60.0,939.9457999970764,1
1,-60.0,794.236700021429,1
1,30.0,621.3305999990553,1
1,-30.0,632.1562000084668,0
1,30.0,772.3625999933574,0
1,0.0,822.4871999991592,1
1,180.0,1146.0110999760218,0
1,-60.0,804.8953000106849,1
1,-30.0,664.9793999968097,0
1,-120.0,1395.3273999795783,1
1,-150.0,664.1525999875739,1
1,0.0,708.7080999917816,0
1,-150.0,1373.135799978627,0
1,0.0,1634.8239000071771,1
