Correct Response,Rotation (deg),Reaction Time (ms),Target
1,45.0,1114.3984000082128,1
1,-60.0,1317.2636000090279,1
1,60.0,2145.3776000416838,1
1,15.0,752.5529999984428,0
1,-22.5,806.5528000006452,1
1,-45.0,583.9404000435024,0
1,22.5,530.4340000147931,1
1,-60.0,865.6481999787502,0
1,0.0,698.0841999757104,0
1,0.0,441.8731000041589,0
1,15.0,592.3759000143036,1
1,22.5,712.2547999606468,1
1,52.5,709.2990999808535,1
1,30.0,758.0228000297211,0
1,-52.5,637.8363999538124,1
1,-15.0,731.6088999505155,1
1,-15.0,487.7214999869466,1
1,37.5,531.2240000348538,0
1,-7.5,484.93850004160777,1
1,37.5,595.1376000302844,0
1,-52.5,667.8643000195734,0
1,22.5,661.4166000508703,1
1,-7.5,464.3274999689311,1
1,-60.0,551.505499985069,1
1,-30.0,428.1471000285819,1
1,-45.0,1022.8079999797046,1
1,-15.0,522.4449000088498,1
1,-45.0,564.576200034935,1
1,52.5,805.8094999869354,0
1,45.0,565.6108000548556,1
1,52.5,504.1041999938898,1
1,7.5,580.0350000499748,0
1,-37.5,641.4150999626145,1
1,60.0,643.2865000097081,1
1,45.0,598.043299978599,1
1,37.5,683.8404000154696,0
1,-60.0,678.9668000419624,0
1,-22.5,595.0812000082806,0
1,-22.5,616.6684000054374,1
1,-45.0,544.3573999800719,1
1,-45.0,1466.392700036522,0
1,0.0,1656.0441000037827,1
1,22.5,612.1026000473648,0
1,37.5,790.5851000105031,1
1,-52.5,819.443299958948,0
1,37.5,606.8184000323527,1
1,60.0,563.7702000094578,1
1,30.0,732.0524000097066,0
1,-7.5,1206.313600006979,0
1,-60.0,757.2733999695629,1
0,-30.0,725.7335999747738,1
1,-37.5,1039.9872999987565,1
1,15.0,815.7786999945529,0
1,-37.5,755.9972999733873,0
1,37.5,1150.1428000046872,0
1,-15.0,512.8202000050806,0
1,22.5,471.3161999825388,0
1,-60.0,599.1228999919258,0
1,30.0,1048.8180000102147,1
1,0.0,832.8465999802575,0
1,52.5,805.5771000217646,1
1,-52.5,1074.220999958925,0
1,0.0,635.1656999904662,0
1,-30.0,667.242499999702,0
1,37.5,512.0877000153996,0
1,-60.0,817.2722000163049,0
1,15.0,750.745800032746,0
1,52.5,644.3770999903791,0
1,7.5,720.6940000178292,1
1,-37.5,871.4756999979727,1
1,-22.5,706.1047999886796,1
1,-52.5,910.3817000286654,0
1,60.0,1097.3819000064395,1
1,-15.0,692.9218000150286,0
1,45.0,905.0371000193991,1
1,-15.0,591.7183000128716,0
1,-22.5,807.8773000161164,0
1,-22.5,805.8171000448056,0
1,-37.5,658.4333999780938,1
1,30.0,998.2728000031784,1
1,-22.5,660.4981999844313,1
1,-45.0,896.0565000306815,1
1,-45.0,876.3559000217356,1
1,-7.5,979.3997000087984,0
1,-30.0,819.476000033319,0
1,37.5,812.5034999684431,0
1,-7.5,1168.2917000143789,1
1,0.0,775.2881000051275,1
1,60.0,722.61289996095,1
1,60.0,756.8888000096194,1
1,-30.0,636.0457999981008,1
1,0.0,651.7228000448085,0
1,0.0,592.5501000019722,0
1,-37.5,757.887399988249,1
1,60.0,712.6517000142485,1
1,7.5,715.2164000435732,0
1,-37.5,694.4978999672458,1
1,7.5,865.5970999971032,1
0,-60.0,1190.4930000309832,1
0,52.5,735.2221999899484,0
1,52.5,1470.9861000301316,1
1,-30.0,1034.0232999878936,0
1,-37.5,1235.5048999888822,1
1,-52.5,954.9536000122316,0
1,-45.0,706.1685000080615,1
1,7.5,615.5411999789067,0
1,37.5,680.6682999595068,1
1,7.5,991.9713999843225,1
1,22.5,685.6166000361554,1
1,-7.5,977.2607999620959,0
1,7.5,910.5534999980591,0
1,-52.5,879.6157999895513,1
1,-45.0,613.123299961444,1
1,22.5,643.099799985066,0
1,30.0,689.1958999913186,1
1,-37.5,648.2407999574207,1
1,-30.0,839.8978000041097,0
1,-7.5,666.4735000231303,0
1,22.5,777.5357000064105,0
1,-7.5,719.8777999728918,0
1,45.0,642.4738999921829,0
1,7.5,573.5556000145152,0
1,15.0,801.4538999996148,0
1,52.5,977.879700018093,0
1,15.0,526.9562000175938,0
1,-22.5,532.595600001514,1
1,45.0,682.9587999964133,1
1,30.0,718.1601999909617,1
1,45.0,1004.1974000050686,0
1,45.0,827.0149999880232,0
1,-30.0,605.1155999884941,0
1,15.0,746.4146999991499,1
1,-15.0,749.0846000146121,0
1,-15.0,641.1684000049718,0
1,45.0,757.7876000432298,1
1,-52.5,492.2325999941677,1
1,22.5,779.6649999800138,1
1,30.0,670.4626000137068,1
1,-22.5,1254.7867999528535,0
1,-60.0,766.6839999728836,0
1,15.0,751.7575999954715,1
1,52.5,806.5020000212826,0
1,-7.5,701.094500022009,1
1,-52.5,878.6230999976397,1
1,30.0,744.4989000214264,0
1,30.0,793.8137000310235,0
1,60.0,723.8771999836899,0
1,15.0,601.1944999918342,0
1,-15.0,569.2148999660276,0
1,0.0,695.4448000178672,0
1,7.5,606.6714999615215,0
1,60.0,1051.95970000932,0
1,-30.0,1098.7173999892548,1
1,-30.0,784.0223999810405,0
1,-60.0,635.1604000083171,1
1,52.5,708.9823000133038,1
