Correct Response,Rotation (deg),Reaction Time (ms),Target
1,45.0,801.9122000550851,1
1,90.0,723.5291000688449,0
1,15.0,629.9267000285909,0
1,-90.0,629.9736999208108,1
1,0.0,561.1430999124423,0
1,75.0,642.7596000721678,1
1,-75.0,612.087200046517,0
1,45.0,581.914099981077,0
0,90.0,718.3079000096768,0
1,-45.0,720.2333000022918,0
1,60.0,699.4049000786617,1
1,-60.0,799.0752999903634,0
1,15.0,769.7964999824762,0
1,0.0,773.8391000311822,0
1,30.0,1035.6424000347033,1
1,-15.0,747.233200003393,1
1,-90.0,699.1700000362471,1
1,0.0,547.5445999763906,0
0,-75.0,664.9922999786213,1
1,0.0,537.77659998741,1
1,-45.0,635.7867999467999,1
1,-15.0,700.7618999341503,0
1,30.0,801.312500028871,0
1,60.0,860.7853000285104,0
1,-30.0,523.226400022395,0
1,-30.0,657.611700007692,1
1,0.0,600.1759999198839,0
1,-60.0,701.9147999817505,0
1,0.0,840.0667000096291,1
1,75.0,652.8167999349535,0
1,90.0,732.0086000254378,0
1,-75.0,769.5040999678895,1
