Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-75.0,684.6954999491572,0
1,45.0,548.0818999931216,0
1,90.0,657.3457000777125,1
1,60.0,516.7380999773741,0
1,-90.0,735.5917999520898,1
1,-60.0,599.087200127542,1
1,30.0,749.2362998891622,0
1,-45.0,629.0576998144388,0
1,-90.0,710.7888997998089,1
1,-45.0,672.899599885568,0
1,-90.0,720.8349001593888,0
1,-75.0,565.2126998174936,1
0,60.0,544.6070998441428,1
0,60.0,686.6198999341577,1
1,-75.0,559.8017000593245,1
1,60.0,660.971499979496,0
1,-30.0,645.7928000018001,0
1,-60.0,623.6056999769062,1
1,30.0,627.9043999966234,0
1,-90.0,619.9807000812143,0
1,-15.0,612.445600097999,0
1,-30.0,547.7168001234531,0
1,30.0,593.8190999440849,0
1,-75.0,674.8050998430699,0
1,60.0,735.1506999693811,1
1,90.0,694.3211001344025,1
1,0.0,683.8936998974532,0
1,75.0,781.0689001344144,0
1,-15.0,678.4546999260783,1
1,-30.0,624.3616999126971,1
1,45.0,686.4847999531776,0
1,0.0,740.613600006327,0
1,-15.0,639.6238999441266,1
1,45.0,548.8389998208731,0
0,-15.0,521.4611000847071,0
1,30.0,646.6296999715269,0
1,45.0,619.5442001335323,0
1,-45.0,731.7027000244707,0
1,90.0,781.997200101614,1
1,-75.0,618.1255001574755,0
1,90.0,966.4153000339866,1
1,-75.0,722.5393000990152,1
1,60.0,718.5478999745101,0
1,0.0,950.209700036794,1
1,75.0,577.8904999606311,1
1,30.0,714.3848000559956,0
1,-60.0,727.0025999750942,0
1,15.0,661.5494999568909,1
1,-45.0,687.1877999510616,1
1,75.0,625.2456998918205,1
1,-75.0,669.6897000074387,0
1,45.0,741.0186000633985,0
1,75.0,817.4469999503344,1
1,15.0,658.9212999679148,1
1,90.0,598.9000000990927,1
1,-60.0,576.2683998327702,1
1,-45.0,571.2663000449538,0
1,0.0,706.1308999545872,0
1,15.0,566.8020001612604,1
1,-60.0,576.7981999088079,1
1,-30.0,631.2915000598878,1
1,-90.0,630.5439998395741,1
1,45.0,550.863099982962,1
1,15.0,531.8787000142038,0
1,-15.0,633.4786000661552,1
1,45.0,598.798899911344,1
1,-75.0,788.6668001301587,0
1,-15.0,732.0792998652905,0
1,-15.0,805.1867999602109,1
1,-75.0,610.4637999087572,1
1,0.0,674.2602000012994,0
1,-75.0,671.4598000980914,1
1,-30.0,673.9829999860376,0
0,-15.0,1175.5662001669407,0
1,60.0,569.5285999681801,0
1,-15.0,565.7401001080871,1
1,-30.0,825.6328999996185,1
1,-60.0,742.9484999738634,0
1,-30.0,728.0329999048263,0
1,75.0,691.6304000187665,0
1,0.0,624.529599910602,1
0,75.0,863.0743999965489,1
1,45.0,667.2972000669688,0
1,75.0,676.9908000715077,0
1,0.0,672.8689998853952,0
1,15.0,624.9555998947471,0
1,-45.0,633.8788999710232,0
1,-15.0,766.1794000305235,1
1,30.0,637.2074000537395,0
1,-60.0,664.1629000660032,1
1,0.0,719.7193000465631,1
1,30.0,649.1151000373065,1
1,-15.0,661.2152999732643,0
1,45.0,662.4400999862701,1
1,15.0,633.4922998212278,0
1,-15.0,695.9049000870436,1
1,60.0,681.2559999525547,1
1,30.0,612.6817998010665,0
1,-90.0,551.4818001538515,1
1,30.0,599.4811998680234,0
1,-60.0,750.8171000517905,0
1,75.0,614.8550999350846,1
1,-30.0,630.1037999801338,0
1,-90.0,625.2458998933434,1
1,90.0,879.5662999618798,1
1,-15.0,480.9119999408722,1
1,75.0,505.0778998993337,0
1,90.0,781.9872000254691,0
1,0.0,598.4944000374526,0
1,-60.0,617.524900007993,0
1,90.0,504.33150003664196,1
1,-75.0,592.0106000266969,0
1,-90.0,511.909699998796,1
1,15.0,570.1414998620749,0
1,-90.0,662.7607999835163,1
1,30.0,565.0611000601202,0
1,15.0,568.314400035888,1
1,15.0,767.6647999323905,0
1,90.0,655.2031999453902,1
1,75.0,633.0615999177098,0
1,-45.0,792.6713000051677,1
1,60.0,736.0308000352234,0
1,-90.0,675.0636000651866,0
1,-30.0,592.5654999446124,1
1,0.0,590.2678000275046,0
1,-75.0,597.3810001742095,1
1,-45.0,752.3685998748988,1
1,15.0,574.8127000406384,1
1,-15.0,589.8923000786453,0
1,-15.0,566.9415998272598,1
1,60.0,605.7957999873906,0
1,-30.0,559.0949000325054,0
1,15.0,648.58050015755,0
1,-75.0,631.2160999514163,1
0,90.0,583.2907999865711,1
1,90.0,726.2506999541074,0
1,-30.0,604.3834001757205,0
1,90.0,625.0811999198049,1
1,-45.0,740.3019000776112,0
1,90.0,832.7747001312673,1
1,-90.0,723.2617000117898,0
1,45.0,877.5013000704348,0
1,45.0,735.3536000009626,0
1,45.0,733.7847999297082,1
1,0.0,622.5095998961478,0
1,-15.0,628.4684999845922,0
1,45.0,675.9297999087721,0
1,45.0,683.659200090915,0
1,15.0,810.2110999170691,0
1,15.0,578.951200004667,0
1,-90.0,695.0745999347419,1
1,30.0,695.2770999632776,1
1,-60.0,679.2653000447899,1
1,-30.0,654.9183998722583,1
1,60.0,784.3309999443591,0
1,-30.0,429.53960015438497,1
1,45.0,570.2902001794428,0
1,15.0,462.32519997283816,1
1,45.0,494.1098999697715,1
1,-60.0,576.9382000435144,0
1,-45.0,564.8177999537438,1
1,-45.0,573.1156999245286,1
1,-90.0,662.7785998862237,1
1,-45.0,595.1502998359501,0
1,30.0,533.1330997869372,0
1,60.0,685.093600070104,0
1,0.0,850.4229998216033,1
