Correct Response,Rotation (deg),Reaction Time (ms),Target
1,-15.0,627.157999901101,1
1,-45.0,521.8019001185894,1
1,75.0,607.6609999872744,0
1,15.0,607.3398999869823,0
0,-90.0,659.2225001659244,1
1,90.0,578.9004000835121,1
1,-90.0,551.8696999642998,1
1,-15.0,560.071999905631,0
1,45.0,618.6372002121061,0
1,-75.0,709.9798999261111,0
0,0.0,615.3600001707673,0
1,90.0,621.712899999693,0
1,30.0,525.3790998831391,1
1,90.0,619.8022000025958,0
1,-75.0,593.2045998051763,1
0,-90.0,613.9458001125604,0
1,60.0,644.9927999638021,0
1,45.0,575.4497998859733,0
1,-75.0,674.4357999414206,0
1,60.0,555.8613000903279,0
1,-15.0,555.4418999236077,1
1,-60.0,654.3773000594229,1
1,60.0,589.9547999724746,1
1,-30.0,619.7827998548746,0
1,75.0,568.1159999221563,1
1,-60.0,556.9594001863152,1
1,-45.0,612.5777000561357,0
1,-30.0,507.9852999188006,1
1,30.0,719.023099867627,0
1,-90.0,645.241699879989,0
0,-45.0,574.6385999955237,0
1,60.0,576.726500177756,0
1,45.0,592.3269998747855,1
1,75.0,597.9569000191987,0
1,0.0,556.9362000096589,1
1,-90.0,604.9575998913497,1
1,75.0,628.4688001032919,0
1,-60.0,592.1184001490474,0
1,-60.0,640.4929000418633,0
1,30.0,622.6103000808507,0
1,-30.0,657.1660998743027,1
1,45.0,649.3178999517113,0
1,-90.0,602.1028000395745,0
1,-60.0,627.2583000827581,0
1,-90.0,582.0748000405729,1
1,90.0,715.4232999309897,1
1,75.0,722.6466999854892,0
1,-75.0,627.6961998082697,0
1,45.0,628.9295998867601,1
1,-45.0,662.7255000639707,1
1,-15.0,664.2073001712561,1
1,15.0,749.024200020358,0
1,-90.0,570.7348000723869,1
1,-30.0,631.7187000531703,1
1,45.0,582.1744999848306,0
1,-45.0,643.8549999147654,1
1,-75.0,557.1355000138283,1
1,60.0,618.6690998729318,0
1,-45.0,661.1647000536323,1
1,0.0,663.3309000171721,0
1,90.0,703.3767001703382,0
1,-45.0,584.311000071466,0
1,-45.0,677.5362999178469,0
1,-30.0,580.5324001703411,1
1,-60.0,508.27970006503165,1
1,-75.0,569.3554000463337,1
1,60.0,581.371600041166,1
1,45.0,659.9291998427361,0
1,90.0,606.3409999478608,0
1,75.0,608.841700013727,0
1,-15.0,598.3996998984367,1
1,-75.0,542.3559001646936,1
1,30.0,637.3597998172045,1
1,-30.0,676.1000999249518,1
1,30.0,646.4665001258254,0
1,0.0,567.538799950853,0
1,-30.0,620.9742999635637,0
1,90.0,614.5350998267531,1
1,-75.0,578.0090999323875,1
1,-60.0,622.3636998329312,0
0,60.0,585.2592000737786,0
1,-45.0,770.6069000996649,1
1,-45.0,605.6764000095427,1
1,45.0,555.9402999933809,1
1,-45.0,567.0343998353928,1
1,-15.0,678.6364999134094,0
1,-60.0,780.288300011307,0
1,15.0,786.3296000286937,0
1,75.0,684.6723000053316,1
1,-90.0,849.6975998859853,1
1,-45.0,548.5368999652565,1
1,90.0,700.3095000982285,0
1,-15.0,715.8358001615852,0
1,-90.0,781.9803000893444,0
1,45.0,631.4911998342723,1
1,-60.0,678.3646000549197,0
1,30.0,965.5305999331176,0
0,60.0,875.9262999519706,0
1,30.0,805.6578000541776,0
1,45.0,598.5628999769688,1
1,-30.0,545.9908999036998,0
1,-15.0,751.4702000189573,0
1,-90.0,577.9515001922846,0
1,15.0,603.2913001254201,0
1,15.0,674.9116000719368,0
1,60.0,757.405900163576,1
1,15.0,597.0150998327881,0
1,45.0,650.2359001897275,0
1,90.0,604.135800153017,1
1,0.0,540.7445998862386,1
1,45.0,542.7113000769168,1
1,-45.0,537.504400126636,0
1,30.0,586.5981001406908,1
1,75.0,596.9347001519054,1
0,45.0,972.2849999088794,0
1,-30.0,540.4596000444144,1
1,45.0,667.1421001665294,0
1,0.0,701.4996998477727,1
1,-15.0,605.1702999975532,1
1,90.0,663.373599993065,1
1,45.0,605.5967998690903,1
1,15.0,615.9618999809027,1
1,30.0,604.9661999568343,1
1,-60.0,620.9290998522192,1
1,30.0,630.6943001691252,0
1,-75.0,565.6735999509692,0
1,-90.0,491.4361999835819,0
1,-90.0,824.151799781248,0
1,75.0,620.4262000974268,1
1,-30.0,566.1146000493318,0
0,0.0,669.7715001646429,0
1,-75.0,805.2971002180129,1
1,-15.0,595.109400106594,1
1,15.0,688.4283002000302,1
1,0.0,598.2247001957148,0
0,75.0,826.2557999696583,0
1,-15.0,1006.8095999304205,0
1,90.0,764.8495999164879,1
1,90.0,622.0976999029517,1
1,-75.0,640.748200006783,1
1,75.0,615.7299999613315,0
1,-60.0,577.8886000625789,1
1,75.0,668.4574999380857,0
1,45.0,649.9687000177801,1
1,30.0,684.4999000895768,0
1,-90.0,518.8882001675665,1
1,15.0,541.9926000759006,1
1,-15.0,525.0035999342799,1
1,-30.0,782.6775000430644,0
1,30.0,770.9941999055445,0
1,60.0,575.8360999170691,0
1,75.0,621.1947000119835,0
1,-30.0,681.723800022155,1
1,-75.0,688.1331999320537,1
0,90.0,761.479000095278,1
1,0.0,584.7716999705881,0
1,60.0,582.6722998172045,0
1,-30.0,695.9092998877168,1
1,-90.0,908.9530999772251,0
