Correct Response,Rotation (deg),Reaction Time (ms),Target
1,30.0,599.8696000315249,0
1,-30.0,667.1800999902189,1
1,-15.0,630.9223000425845,1
1,-45.0,574.5694999350235,0
1,45.0,564.3659000052139,0
1,-45.0,729.8105000518262,0
1,-30.0,789.68160005752,1
1,-45.0,600.8500000461936,0
1,-15.0,699.9103999696672,1
1,45.0,792.2325999243185,1
1,0.0,643.6380000086501,1
1,-15.0,779.6955000376329,1
1,-45.0,678.0505999922752,0
1,45.0,667.638499988243,1
1,45.0,694.4555999943987,0
1,15.0,883.7081999517977,1
1,0.0,666.6653000283986,0
1,15.0,641.2171999691054,1
1,-30.0,684.0652000391856,0
1,30.0,565.9228001022711,1
1,0.0,649.5225999969989,1
1,30.0,640.388400061056,0
1,45.0,645.8278999198228,0
1,45.0,596.7887999722734,0
1,0.0,648.0803000740707,0
1,-30.0,566.694000037387,1
1,-45.0,532.0886999834329,1
1,15.0,590.8075999468565,1
1,15.0,657.3950999882072,0
1,-30.0,669.4235000759363,0
1,-45.0,525.9733999846503,1
1,0.0,591.3055000128224,0
1,-45.0,674.9133999692276,1
1,0.0,544.0166000043973,0
1,45.0,713.5161999613047,1
1,15.0,644.2359000211582,0
1,45.0,650.1604000804946,1
1,45.0,608.1024999730289,1
1,0.0,624.9965999741107,0
1,30.0,559.7360000247136,0
1,-45.0,699.9327000230551,0
1,45.0,746.483700000681,1
1,15.0,578.7836000090465,0
1,-15.0,688.8448999961838,1
1,15.0,617.4688000464812,0
1,0.0,652.7519000228494,0
1,-30.0,725.9024999802932,1
1,15.0,669.9213000247255,1
1,-15.0,657.0424999808893,1
1,-15.0,602.7047000825405,1
1,15.0,579.7873999690637,0
1,30.0,756.841899943538,0
0,30.0,596.1476999800652,1
1,-30.0,663.9207999687642,1
1,-15.0,504.61629999335855,1
0,30.0,555.5893999990076,1
1,45.0,727.5242999894544,0
1,0.0,891.3343000458553,0
1,0.0,652.1524999989197,0
1,30.0,633.4081999957561,0
1,-15.0,676.9523000111803,0
1,15.0,714.6846000105143,1
1,-15.0,693.2661000173539,1
1,-30.0,646.6250000521541,0
1,-30.0,846.940700081177,1
1,-15.0,644.8092999635264,1
1,45.0,639.8287999909371,0
1,-15.0,708.2538999384269,1
1,30.0,908.4525000071153,1
1,-15.0,564.2316000303254,1
1,-30.0,538.5881999973208,1
1,-45.0,619.6860999334604,0
1,-45.0,609.1296999948099,0
1,-30.0,923.8873000722378,1
1,45.0,633.879299974069,0
1,30.0,680.8530000271276,0
1,-45.0,699.2981000803411,0
1,-30.0,632.594499969855,1
1,45.0,613.1427999353036,0
1,-15.0,688.6340000201017,0
1,-30.0,686.8489999324083,0
1,-15.0,636.5775000303984,0
1,-45.0,763.4624999482185,1
1,15.0,678.9692000020295,1
1,0.0,617.4719999544322,0
0,15.0,578.6136999959126,0
0,-45.0,648.0675999773666,0
1,15.0,611.4158999407664,1
1,0.0,641.9111000141129,0
1,-30.0,729.7408999875188,0
1,15.0,712.0162999490276,0
1,-45.0,604.9067999701947,0
1,-15.0,570.864100009203,0
1,0.0,881.2652999768034,1
1,45.0,604.8119000624865,0
1,0.0,621.6123000485823,0
1,45.0,671.651600045152,0
1,-45.0,657.5977000175044,0
1,0.0,840.1050999527797,1
1,30.0,863.6245999950916,1
1,15.0,626.7957999370992,0
1,0.0,778.3795999130234,0
1,-15.0,671.6515000443906,0
1,15.0,1032.2062000632286,0
1,-15.0,536.9399000192061,0
1,15.0,1227.5837000925094,1
1,30.0,811.1312000546604,1
1,30.0,516.3597000064328,1
1,30.0,746.7288000043482,0
1,0.0,644.6378999389708,1
1,0.0,608.6588999023661,1
1,45.0,864.6473999833688,1
1,30.0,559.5023999921978,0
1,30.0,816.8352999491617,1
1,15.0,697.0408000051975,1
1,-30.0,619.1244999645278,0
1,0.0,634.5093999989331,0
1,-45.0,728.9692000485957,0
1,-30.0,637.1855000033975,0
1,-30.0,606.5775000024587,0
1,0.0,696.5636999811977,1
0,30.0,591.7617999948561,1
1,-30.0,663.9078999869525,0
1,15.0,924.7000999748707,1
0,-15.0,618.067100062035,1
1,-45.0,743.6524000950158,1
1,-15.0,621.870500035584,0
1,0.0,629.1946000419557,1
1,30.0,702.1272000856698,1
1,-15.0,703.6345999222249,1
1,30.0,644.766699988395,0
1,-45.0,674.1712000221014,0
1,30.0,607.8503000317141,0
1,15.0,722.4846000317484,1
1,-45.0,615.4613000107929,1
1,0.0,589.9590000044554,0
1,-30.0,558.0226000165567,0
1,-45.0,727.7638000668958,1
1,-15.0,592.3972999444231,0
1,-30.0,680.6000999640673,0
1,45.0,593.3745999354869,0
1,-45.0,584.7324999049306,1
1,0.0,185.28800003696233,0
1,0.0,539.539200020954,1
1,15.0,549.8727000085637,0
0,-30.0,452.3822999326512,0
1,45.0,684.3853000318632,1
1,45.0,679.0049000410363,0
1,45.0,529.5141999376938,0
1,30.0,660.0352999521419,0
0,30.0,500.82069996278733,1
1,30.0,647.7867000503466,0
1,15.0,513.5263000847772,1
1,-45.0,678.2513000071049,1
1,30.0,625.7881999481469,0
1,-15.0,580.4800000041723,1
1,-30.0,624.101800029166,0
1,30.0,842.9571000160649,1
